cell_i,cell_j,edge_id,component_index,face_i,face_j,contact_px,arclength_um,iface_cy,iface_cx,n_components,arclength_px,n_bins,mean_intensity,max_intensity,occupancy,continuity,n_segments,gap_fraction,width_mean_px,width_cv,left_intensity,right_intensity,threshold,AJ_occupancy,AJ_mean_intensity,AJ_max_intensity,AJ_skeleton_len,AJ_cluster_count,AJ_cluster_density,AJ_thickness_proxy,AJ_morph_label,aj_morph,aj_occupancy,has_AJ,AJ_threshold
162,479,785,0,275,239,23.396073528970817,,368.53515625,317.53515625,1,23.396073528970817,23,753.471545432706,1292.6836031928474,0.34782608695652173,0.4782608695652174,4,0.21739130434782605,3.111111111111111,0.33692789757345015,709.2262524036878,741.8775251585138,776.3802550381891,0.34782608695652173,753.471545432706,1292.6836031928474,8.13776470572898,4,0.170968859156939,3.111111111111111,discontinuous,discontinuous,0.34782608695652173,True,776.3802550381891
92,162,786,0,269,275,61.27968120216492,,395.71875,327.71875,1,61.27968120216492,61,667.5152061469709,1600.5357027828175,0.11241217798594848,0.18032786885245902,9,0.6721311475409837,2.4,0.6373774391990982,674.196784061814,640.9500636589028,776.3802550381891,0.11241217798594848,667.5152061469709,1600.5357027828175,6.8885824302199445,9,0.14686760478254646,2.4,discontinuous,discontinuous,0.11241217798594848,True,776.3802550381891
400,442,787,0,276,257,31.494293061582912,,381.86328125,424.13671875,1,31.494293061582912,31,638.0994227030178,1113.606544376606,0.09216589861751152,0.12903225806451613,5,0.6129032258064516,1.6666666666666667,0.6633249580710799,634.9277097661054,606.6714420865635,776.3802550381891,0.09216589861751152,638.0994227030178,1113.606544376606,2.902699821344047,5,0.15875892150438695,1.6666666666666667,discontinuous,discontinuous,0.09216589861751152,True,776.3802550381891
400,621,788,0,276,226,30.343039378250747,,382.16796875,412.16796875,1,30.343039378250747,30,697.3793618851195,984.1825836009693,0.26666666666666666,0.9333333333333333,2,0.033333333333333326,1.9310344827586208,0.48903799777246965,655.6425852529167,694.3016207988684,776.3802550381891,0.26666666666666666,697.3793618851195,984.1825836009693,8.091477167533533,2,0.06591297513305665,1.9310344827586208,punctate,punctate,0.26666666666666666,True,776.3802550381891
226,464,789,0,277,238,30.616840661199678,,380.72265625,202.72265625,1,30.616840661199678,31,743.5172786587714,1397.44498256504,0.3824884792626728,0.45161290322580644,4,0.19354838709677424,3.32,0.4565613330481064,713.2376637338466,726.083303062406,776.3802550381891,0.3824884792626728,743.5172786587714,1397.44498256504,11.71058882432983,4,0.13064705285118292,3.32,discontinuous,discontinuous,0.3824884792626728,True,776.3802550381891
226,672,790,0,277,221,34.76481105924315,,377.71875,225.28125,1,34.76481105924315,35,769.4582418906098,1151.0680085672032,0.46530612244897956,0.5714285714285714,2,0.05714285714285716,3.4545454545454546,0.35696473595396144,770.5250535976795,718.5513252417968,776.3802550381891,0.46530612244897956,769.4582418906098,1151.0680085672032,16.17627943164783,2,0.05752943677996049,3.4545454545454546,thick,thick,0.46530612244897956,True,776.3802550381891
226,383,791,0,277,262,28.86588082636883,,382.83203125,244.16796875,1,28.86588082636883,29,628.0954431987303,1147.1913693146196,0.1921182266009852,0.13793103448275862,4,0.5862068965517242,3.25,0.4721013497313325,602.1159966240763,628.4922912311896,776.3802550381891,0.1921182266009852,628.0954431987303,1147.1913693146196,5.545661833637361,4,0.13857190168768455,3.25,discontinuous,discontinuous,0.1921182266009852,True,776.3802550381891
57,644,792,0,263,274,7.879907084529012,,373.75390625,968.75390625,1,7.879907084529012,8,852.7510578831077,1509.5885939054654,0.6607142857142857,1.0,1,0.0,4.625,0.3045791262049904,836.5712866374928,834.7839968039318,776.3802550381891,0.6607142857142857,852.7510578831077,1509.5885939054654,5.206367180849526,1,0.12690504967543925,4.625,thick,thick,0.6607142857142857,True,776.3802550381891
47,216,793,0,278,237,1.0,,372.5,0.5,1,1.0,1,998.0178571428571,1350.25,0.8571428571428571,1.0,1,0.0,6.0,,889.5416666666666,1049.0833333333333,776.3802550381891,0.8571428571428571,998.0178571428571,1350.25,0.8571428571428571,1,1.0,6.0,thick,thick,0.8571428571428571,True,776.3802550381891
47,52,795,0,278,266,55.581891543573846,,396.71484375,13.28515625,1,55.581891543573846,56,828.5526140830892,1849.1430261858113,0.5127551020408163,0.6785714285714286,2,0.017857142857142905,3.6545454545454548,0.4341205842462384,767.9997113672434,798.3515880191643,776.3802550381891,0.5127551020408163,828.5526140830892,1849.1430261858113,28.499898470046794,2,0.0359829423658978,3.6545454545454548,thick,thick,0.5127551020408163,True,776.3802550381891
