series,frame,dlite_index,label,radius,pimorph_edge,dlite_DLITE,pimorph_tension_only_r0.1,pimorph_pressure_curvature_r0.1
3,1,12,10,1415.9494895929633,1.0,0.25228085313279847,,
3,1,13,18,2783014.1376216705,6.0,0.24172124698819106,1.2081351002717207,1.4494624196283117
3,1,14,20,489.79522950372115,8.0,0.20477158965585843,,
3,1,15,21,344.88619996895005,6.0,0.21817164986189297,1.2081351002717207,1.4494624196283117
3,1,16,35,270.8576806864762,8.0,0.311398620415125,,
3,1,17,38,2397.6983591952976,,0.021225423507306974,,
3,1,18,39,453.06482406255475,,0.0311926435037822,,
3,1,19,37,353.43424254141456,,0.04810499145048927,,
3,1,20,42,321.2873120332198,,0.3027681504168444,,
3,1,21,53,228.05879595184592,8.0,0.11801316749866245,,
3,1,22,48,385.85708529305725,,0.17599889713578507,,
3,1,23,32,2654.129931164936,,0.0,,
3,1,24,27,1986.0415164492624,11.0,0.14894288739891048,0.9973651565198624,1.05294824347745
3,1,25,28,755594.9161079216,14.0,0.2727267444870196,,
3,1,26,29,3653.918659692081,,0.17501213092945841,,
3,1,27,30,696.5661354265475,14.0,0.17377736390567827,,
3,1,28,22,485140.382018849,7.0,0.19065718408306678,1.414260540076281,1.473080186507899
3,1,29,17,639.0876773044341,3.0,0.21941488435458392,0.9863296641570327,1.1312051549732398
3,1,30,25,2498.4720928454653,13.0,0.15256317505642766,1.145674819631146,0.8899804433452563
3,1,31,11,725.3849119621891,,0.1931318021975832,,
3,1,32,13,178.78555262479932,,0.2665886997447703,,
3,1,33,14,3116.0019365006974,1.0,0.3344212511764544,,
3,1,34,55,12.661321232832448,1.0,0.28000768847917584,,
3,1,35,15,1130.8748617709352,,0.0,,
3,1,36,16,183.63411159070375,2.0,0.061586844079386825,,
3,1,37,31,532.2461720534392,,0.2378530461012639,,
3,1,38,26,1608.4835525285814,14.0,0.12605090731469007,,
3,1,39,24,1540.593363344266,2.0,0.031379071392210654,,
3,1,40,23,237.63942502982854,,0.07280451843168292,,
3,1,41,45,678.7467102932285,,0.3849850057755779,,
3,1,42,46,131.4040535176651,,0.120243710079329,,
3,1,43,12,209.9860925702561,1.0,0.2015299949618029,,
3,1,44,56,503.16701288571693,,0.23703427275091465,,
3,1,45,57,5920.019210671683,,0.30408732806707156,,
3,1,46,43,1678.703560169352,,0.5203177213414263,,
3,1,47,54,136.70112233976573,8.0,0.12307784196600405,,
3,1,48,44,86.21505937747551,,0.3775275318641192,,
3,1,49,47,371.05122204969894,,0.441745978517601,,
