face_id,label,area_poly_px,area_pixels,perimeter_px,n_sides,n_cell_neighbors_multiplicity,n_cell_neighbors_distinct,n_gap_sides,n_holes,touches_border,centroid_row,centroid_col,area_um2,perimeter_um
98,136,1740.830551147461,1741,192.31721618529554,5,5,5,0,0,False,171.92791620563082,561.5266912819568,,
99,471,1493.8215026855469,1494,173.25337151179158,7,7,7,0,0,False,164.99250822868967,137.44342928890924,,
100,602,1514.5252075195312,1515,170.43708678661778,4,4,4,0,0,False,167.00629333673953,598.2614845341571,,
101,307,2001.6851348876953,2000,195.37763287972172,8,8,8,0,0,False,177.83637914327537,242.17024440137772,,
102,220,5954.339157104492,5951,368.8448521248738,8,8,8,0,0,False,192.09636692911877,792.8567324987218,,
103,79,561.46826171875,563,104.58548454709606,3,3,3,0,0,False,167.3268763691846,907.3067073742276,,
104,138,1498.1424102783203,1498,165.3095726163946,7,7,7,0,0,False,172.8721932111943,180.64033735714585,,
105,384,602.1796875,603,101.4969239756644,4,4,4,0,0,False,173.89191136032107,325.512397018704,,
106,531,1869.6328125,1870,176.45022087428816,5,5,5,0,0,False,187.67071894828896,85.76132292293461,,
107,355,923.08447265625,924,146.72555920485732,5,5,5,0,0,False,188.5362549541206,311.92874613576157,,
108,32,1538.2969360351562,1539,179.1164986802774,6,6,6,0,0,False,188.75994110091227,927.0954559519282,,
109,169,3912.080780029297,3911,375.55270068063817,8,8,8,0,0,False,236.17881360995955,96.76915717181275,,
110,63,1672.6100616455078,1673,184.19089029257339,5,5,5,0,0,False,199.72284148165753,469.8832885455884,,
111,581,1207.6099090576172,1208,169.55491100327754,5,4,4,0,0,True,197.73299805733177,992.7485228581525,,
112,296,1996.8047790527344,1995,216.66460327929445,6,6,6,0,0,False,204.24064852082964,417.63601140877466,,
113,443,1285.7893981933594,1286,165.43474303968367,6,6,6,0,0,False,198.86257991503555,342.80164007918296,,
114,239,1977.4458770751953,1978,224.32981554648552,5,5,5,0,0,False,220.4176033009619,390.1378988061691,,
115,8,2539.7708587646484,2539,261.8175075106154,8,8,8,0,0,False,207.7710384015028,866.7410953876197,,
116,392,1847.1503295898438,1850,175.69135161684778,5,5,5,0,0,False,210.25105227342718,134.8395425553695,,
117,617,500.2629089355469,501,130.00613280281863,4,3,3,0,0,True,210.48627326492246,4.249361168600159,,
118,607,690.8900604248047,691,106.78169837727458,5,5,5,0,0,False,195.23765633052307,590.5748873873105,,
119,281,1824.371109008789,1823,179.5838104423235,7,7,7,0,0,False,215.32580923825003,54.801305337747074,,
120,162,1768.7753295898438,1769,199.31644574962013,5,5,5,0,0,False,219.21971055530022,27.547776472349256,,
121,103,2338.5638427734375,2339,218.98254389766305,6,6,6,0,0,False,229.66762742927372,358.84871837950277,,
122,76,1268.1564331054688,1267,173.01134995118713,6,6,6,0,0,False,215.20232222746566,723.739416615752,,
123,250,1834.558822631836,1835,194.49236101965852,5,5,5,0,0,False,214.31720448251534,195.590511067859,,
124,448,2679.2213745117188,2679,244.4769569554093,7,7,7,0,0,False,229.65390314738556,287.2513002125977,,
125,562,1353.0236053466797,1353,148.3624199511417,4,4,4,0,0,False,211.98824580754382,611.2416717221361,,
126,500,1501.895278930664,1499,196.02091594718945,7,7,7,0,0,False,223.32797239695904,168.24267688948456,,
127,78,302.30859375,304,67.53927186966642,3,3,3,0,0,False,199.16182017023317,255.74587938850485,,
128,236,2374.528610229492,2373,207.44943461183146,7,7,7,0,0,False,224.97471666989543,969.2873070374305,,
129,603,2544.671630859375,2545,212.31314521127325,6,6,6,0,0,False,226.77054508296027,237.4757481950025,,
130,419,2025.960922241211,2026,189.45786869739604,6,6,6,0,0,False,228.8392732149369,643.4822650956235,,
131,214,1379.8743133544922,1380,146.91100232882383,4,4,4,0,0,False,222.68219960193122,930.2099392377664,,
132,321,2300.343551635742,2301,190.87481733566418,6,6,6,0,0,False,233.70759483977224,895.3891856834074,,
133,520,1736.1356048583984,1736,192.32440495169521,5,5,5,0,0,False,229.36592679608776,466.3641327081487,,
134,585,1465.4158477783203,1465,180.30183874642586,8,8,8,0,0,False,229.01940192915507,583.4863722068574,,
135,131,1602.8304138183594,1601,186.1958173846446,7,7,7,0,0,False,241.6562588835192,320.75233552346316,,
136,206,2188.2189025878906,2186,197.55249456459507,9,9,9,0,0,False,234.97564457035932,532.8801065619373,,
137,630,1186.5843658447266,1186,154.23618684883752,5,4,4,0,0,True,235.22971517600106,1009.1692211262758,,
138,564,2672.0068969726562,2672,259.49696683768235,7,7,7,0,0,False,236.97705530312732,763.819065840954,,
139,487,785.8516082763672,786,114.10074836707606,6,6,6,0,0,False,237.61010730904755,833.8173976633756,,
140,197,1572.0889892578125,1573,170.4600319848721,4,4,4,0,0,False,253.3268981407626,803.124721179707,,
141,208,1828.0127258300781,1828,178.76451731848866,7,7,7,0,0,False,252.21327502694888,677.6663923227001,,
142,632,2105.7117462158203,2105,203.52950545934618,9,9,9,0,0,False,262.67466349391054,431.1210431301714,,
143,638,1805.4759521484375,1806,176.77364413918707,5,4,4,0,0,True,259.4917673173007,20.071708721278917,,
144,231,1566.712661743164,1567,155.43389921436176,6,6,6,0,0,False,258.44908512308683,156.68464901500627,,
145,415,1695.0135803222656,1694,196.11872319907576,6,6,6,0,0,False,264.29554976562275,579.4587798384181,,
146,612,1219.7197265625,1220,156.5603167745336,5,5,5,0,0,False,261.79710779997856,117.59686865532493,,
147,599,2539.223648071289,2538,211.73107986532858,6,6,6,0,0,False,264.0407239585615,490.9386059951269,,
