wt_id,well_id,condition,week,ter_ohm,file,n_hypotheses,ess,temperature,n_cells_map,n_cells_mean,n_cells_ci90_lo,n_cells_ci90_hi,cell_density_per_kpx_map,cell_density_per_kpx_mean,cell_density_per_kpx_ci90_lo,cell_density_per_kpx_ci90_hi,cell_area_cv_map,cell_area_cv_mean,cell_area_cv_ci90_lo,cell_area_cv_ci90_hi,permeability_index_map,permeability_index_mean,permeability_index_ci90_lo,permeability_index_ci90_hi,G_eff_map,G_eff_mean,G_eff_ci90_lo,G_eff_ci90_hi,in_plane_G_map,in_plane_G_mean,in_plane_G_ci90_lo,in_plane_G_ci90_hi,gap_fraction_map,gap_fraction_mean,gap_fraction_ci90_lo,gap_fraction_ci90_hi
LORD-2_C2_2017-03-16,LORD-2_C2,Control,7,343.0,LORD-2_C2_2017-03-16_Blue_r001_c001.tif,72,4.0,0.0007661913206029599,337,337.0708439169247,336.0,338.0,1.285552978515625,1.285823226611804,1.28173828125,1.28936767578125,0.2800502494787342,0.28069090346729214,0.2788383626480149,0.2857136241331203,0.004849948803626857,0.004846245669826355,0.004834337380439216,0.004860356419085283,932.0,932.0715467400411,930.0,935.0,12.275833171456078,12.27744957239116,12.275833171456078,12.284538557383607,0.1609442060085837,0.16093209391844737,0.16042780748663102,0.16129032258064516
LORD-5_B1_2017-02-16,LORD-5_B1,Aphidicolin,3,412.0,LORD-5_B1_2017-02-16_Blue_r001_c001.tif,72,4.000000000000001,0.0006122465814487352,276,277.4952733920481,276.0,280.0,1.0528564453125,1.0585604606325076,1.0528564453125,1.068115234375,0.39413002356665877,0.3702807321729508,0.3528281396149376,0.39413002356665877,0.004123570327536021,0.004152048448815528,0.004123570327536021,0.0041776385928295,656.0,660.6407227547437,656.0,666.0,2.7641890524662243,2.779386578453183,2.7641890524662243,2.9200785444870787,0.12195121951219512,0.12109875071681807,0.12012012012012012,0.12195121951219512
LORD-7_C4_2017-03-16,LORD-7_C4,Control,7,472.0,LORD-7_C4_2017-03-16_Blue_r001_c001.tif,72,4.000000000000003,0.0013237570645339507,226,225.33703007830042,223.0,227.0,0.86212158203125,0.859592552483751,0.850677490234375,0.865936279296875,0.301040946146751,0.2996697600558633,0.2905399013919705,0.3103830793275741,0.003772504393668845,0.0037670081326705712,0.0037322011027198496,0.003796790902640962,466.0,465.03758335854747,460.0,469.0,0.19134339357656882,0.1913512740557482,0.19134325618341375,0.19134339357656882,0.08583690987124463,0.08601783735374202,0.08528784648187633,0.08695652173913043
LORD-2_C3_2017-02-23,LORD-2_C3,Aphidicolin,4,608.0,LORD-2_C3_2017-02-23_Blue_r001_c001.tif,72,4.000000000000001,0.0012637458013113354,222,221.8143075945843,221.0,223.0,0.84686279296875,0.8461544326575635,0.843048095703125,0.850677490234375,0.3649000142101504,0.36830386890429817,0.3649000142101504,0.3843331519804411,0.0034730805726025495,0.003469240111520659,0.0034530820280386193,0.003482126735183256,521.0,520.2465328705202,518.0,522.0,0.4447287062196664,0.4455025438556539,0.44472713491948757,0.45261959529115015,0.15355086372360843,0.15377465554609537,0.1532567049808429,0.15444015444015444
LORD-7_B2_2017-02-23,LORD-7_B2,Aphidicolin,4,708.0,LORD-7_B2_2017-02-23_Blue_r001_c001.tif,60,4.000000000000001,0.11437271594903782,,,12.0,,,,0.0457763671875,,,,0.299059388798136,,,,0.0008684505078634592,,,,5.0,,,,0.0,,,,0.0,
LORD-4_B2_2017-03-02,LORD-4_B2,Aphidicolin,5,816.0,LORD-4_B2_2017-03-02_Blue_r001_c001.tif,72,4.0,0.0016016642092330933,201,200.48715313075965,198.0,202.0,0.766754150390625,0.7647977948408496,0.75531005859375,0.77056884765625,0.29992516150198056,0.3024017177033471,0.2937104648587903,0.3091217077730654,0.0038466034534772034,0.0038381074203548944,0.0038099999181397132,0.0038760417452129983,392.0,390.80633944771813,386.0,395.0,5.950795411990839e-13,5.949788226134973e-13,5.871969577242453e-13,6.059597268404104e-13,0.12755102040816327,0.12794646449096997,0.12658227848101267,0.12953367875647667
LORD-3_C4_2017-03-09,LORD-3_C4,Aphidicolin,6,855.0,LORD-3_C4_2017-03-09_Blue_r001_c001.tif,72,4.0,0.008731062525139872,69,69.166165386018,68.0,70.0,0.263214111328125,0.26384798197180936,0.2593994140625,0.26702880859375,0.27004114656985617,0.25637331617113124,0.22523245704323994,0.27004114656985617,0.0015992447280848959,0.0016193155358890038,0.0015939992286940646,0.0016731243638228447,65.0,65.49669148851396,64.0,67.0,5.0182080713057076e-14,5.065309080659353e-14,5.0182080713057076e-14,5.0182080713057076e-14,0.0,9.802000632890147e-66,0.0,0.0
LORD-3_C1_2017-03-23,LORD-3_C1,Aphidicolin,8,973.0,LORD-3_C1_2017-03-23_Blue_r001_c001.tif,72,4.000000000000001,0.0010157128535050364,317,316.9016877758466,316.0,318.0,1.209259033203125,1.2088840018304694,1.2054443359375,1.21307373046875,0.27948121407791865,0.28174314467355427,0.27836563302094935,0.2868989141699313,0.004553699866048265,0.004550648727046858,0.004535748355406813,0.004571651376689717,761.0,760.7031911028001,758.0,764.0,8.150498995217076,8.149293037476982,8.115508542504276,8.164066588534883,0.10512483574244415,0.105166407355928,0.10471204188481675,0.10554089709762533
LORD-7_B2_2017-03-16,LORD-7_B2,Aphidicolin,7,1062.0,LORD-7_B2_2017-03-16_Blue_r001_c001.tif,72,4.0,0.0010820278420463232,242,242.06635372002376,241.0,243.0,0.92315673828125,0.9234098576355885,0.919342041015625,0.926971435546875,0.29997430243444284,0.30228749298364127,0.2976641808169208,0.3076985062652352,0.004310155571988867,0.00431787748093151,0.004291942552626482,0.004336330605826856,494.0,494.6104806947868,492.0,497.0,1.060464549611737,1.0600594451292475,1.059565716041892,1.060464549611737,0.06072874493927125,0.06065418352686859,0.060362173038229376,0.06097560975609756
LORD-4_C2_2017-03-23,LORD-4_C2,Aphidicolin,8,1115.0,LORD-4_C2_2017-03-23_Blue_r001_c001.tif,72,4.0,0.005367827428384783,390,389.98735707619676,390.0,392.0,1.48773193359375,1.4876837046668885,1.48773193359375,1.495361328125,0.40103100690529964,0.40125064241740704,0.39921880985169145,0.4028962490147924,0.0050030164473300175,0.005008452595892466,0.0050030164473300175,0.005028694889318024,1169.0,1168.3939300066675,1169.0,1175.0,5.386885586826002,5.361099629828681,5.3552280292908865,5.386885586826002,0.13686911890504705,0.13706030124371685,0.13617021276595745,0.13686911890504705
