wt_id,well_id,plate,well,condition,treatment,date,week,ter_ohm,grid_r,grid_c,file,source,cell_radius_px,n_raw_masks,n_cells,cell_density_per_kpx,cell_area_px,cell_area_cv,gap_area_frac,n_gaps,n_edges,edges_per_cell,edge_length_px,G_eff,permeability_index,gap_fraction,G_eff_len,permeability_index_len,in_plane_G,in_plane_G_len,tissue_frac
LORD-2_B2_2017-03-09,LORD-2_B2,LORD-2,B2,Control,C,2017-03-09,6,568.0,2,1,LORD-2_B2_2017-03-09_Blue_r002_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.146949007195484,962,962.0,0.6664265129682997,565.0936088006858,0.2803055482589861,0.6234066367862865,13.0,1655.0,1.7203742203742205,16.142605364753727,1785.0,0.0032835433397439,0.072829131652661,1760.0871427642412,0.0032377156386512,7.684963776455335e-13,7.878558916374345e-13,0.3765933632137135
LORD-2_C2_2017-02-16,LORD-2_C2,LORD-2,C2,Control,C,2017-02-16,3,264.0,1,1,LORD-2_C2_2017-02-16_Blue_r001_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.657583728599336,1185,1185.0,0.8209099977831966,619.0929022294057,0.3208855342040386,0.4917804470032658,48.0,2321.0,1.958649789029536,16.43864868510302,2801.0,0.0038180264571873,0.1713673687968582,2786.9900842285087,0.0037989296242425,0.2247568125868475,0.2545137637986148,0.5082195529967342
LORD-2_C2_2017-02-16,LORD-2_C2,LORD-2,C2,Control,C,2017-02-16,3,264.0,2,1,LORD-2_C2_2017-02-16_Blue_r002_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.727325035155395,1041,1041.0,0.7211538461538461,628.1031133851446,0.355745448099986,0.5470410240010977,30.0,1932.0,1.855907780979827,16.60360793823811,2232.0,0.0034135990943662,0.1344086021505376,2251.87009205185,0.0034439882199187,0.4227737581310413,0.5772353159345132,0.4529589759989024
LORD-2_C2_2017-03-16,LORD-2_C2,LORD-2,C2,Control,C,2017-03-16,7,343.0,1,1,LORD-2_C2_2017-03-16_Blue_r001_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.303394180365686,1748,1748.0,1.2109288406118377,580.0448435907779,0.2850558672532159,0.2976069700477446,63.0,4128.0,2.3615560640732265,15.832161685534992,4758.0,0.0046926853905576,0.1324085750315258,4683.2220972616005,0.0046189339883472,6.00326423391263,5.721514161549643,0.7023930299522554
LORD-2_C2_2017-03-16,LORD-2_C2,LORD-2,C2,Control,C,2017-03-16,7,343.0,2,1,LORD-2_C2_2017-03-16_Blue_r002_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.422495877444907,1838,1838.0,1.2732764353801818,599.7497718155189,0.3113874920893166,0.2363527484226586,88.0,4551.0,2.4760609357997825,15.910767861876256,5431.0,0.0049267917365928,0.1620327748112686,5370.745791166473,0.004872131464419,5.685911115296358,5.435668234046994,0.7636472515773414
LORD-3_B1_2017-02-16,LORD-3_B1,LORD-3,B1,Control,C,2017-02-16,3,278.0,1,1,LORD-3_B1_2017-02-16_Blue_r001_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.517021664164629,597,597.0,0.4135723786300155,596.5039762564041,0.2645446905585655,0.7533024316773766,9.0,818.0,1.3701842546063652,16.562753776944312,908.0,0.0025497533696184,0.0991189427312775,895.8878664787426,0.0025157413065577,8.257838857161914e-13,8.333334022836425e-13,0.2466975683226233
LORD-3_B1_2017-02-16,LORD-3_B1,LORD-3,B1,Control,C,2017-02-16,3,278.0,2,1,LORD-3_B1_2017-02-16_Blue_r002_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.877228871110882,573,573.0,0.3969463533584571,635.3899173969581,0.2974611434406663,0.7477842893285462,6.0,795.0,1.387434554973822,17.110139752714062,855.0,0.0023483951444675,0.0701754385964912,851.8533104038274,0.0023397522549133,2.281508315604697e-13,2.296357548559058e-13,0.2522157106714538
LORD-3_B1_2017-03-23,LORD-3_B1,LORD-3,B1,Control,C,2017-03-23,8,774.0,1,1,LORD-3_B1_2017-03-23_Blue_r001_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.02532799341193,1693,1693.0,1.1728275326978497,557.7537159883124,0.281280130759282,0.3458510854243704,63.0,3920.0,2.3154164205552275,15.43277591880502,4550.0,0.0048185011406938,0.1384615384615384,4499.1036909282175,0.0047646013773268,3.624499966983612,3.5670972665781404,0.6541489145756296
LORD-3_B1_2017-03-23,LORD-3_B1,LORD-3,B1,Control,C,2017-03-23,8,774.0,2,1,LORD-3_B1_2017-03-23_Blue_r002_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.146949007195484,1758,1758.0,1.2178563511416538,563.263481556759,0.2775941162968093,0.3140259916199414,57.0,4135.0,2.3521046643913537,15.575764414124356,4705.0,0.0047514828032268,0.1211477151965993,4671.676654318449,0.0047178302412817,11.140698024081887,10.844286393351013,0.6859740083800586
LORD-3_C3_2017-02-23,LORD-3_C3,LORD-3,C3,Control,C,2017-02-23,4,134.0,1,1,LORD-3_C3_2017-02-23_Blue_r001_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,12.85312533702941,783,783.0,0.5424240744845932,554.9867272115149,0.3074443810725547,0.6989618381410606,6.0,1219.0,1.5568326947637292,16.226944226294435,1279.0,0.0029432434455889,0.0469116497263487,1286.7637818139024,0.0029611095127795,1.1327605520250472e-12,1.1332046412348973e-12,0.3010381618589394
LORD-3_C3_2017-02-23,LORD-3_C3,LORD-3,C3,Control,C,2017-02-23,4,134.0,2,1,LORD-3_C3_2017-02-23_Blue_r002_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.36307771993812,674,674.0,0.4669142097095987,579.6953908088299,0.25453184348199,0.7293319847281982,5.0,924.0,1.370919881305638,16.525896512212253,974.0,0.0024928675999139,0.0513347022587269,965.1654037533472,0.0024702562254358,1.4249712521063884e-12,1.4201695375248846e-12,0.2706680152718018
LORD-3_C3_2017-03-09,LORD-3_C3,LORD-3,C3,Control,C,2017-03-09,6,143.0,1,1,LORD-3_C3_2017-03-09_Blue_r001_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,12.815923738491737,917,917.0,0.6352527155841277,535.0415592339202,0.263452635178352,0.6601133965462862,18.0,1534.0,1.672846237731734,15.596046678262594,1714.0,0.0034934454395822,0.1050175029171528,1682.4369783333404,0.0034291142294883,2.002509269516395e-12,2.013278432855259e-12,0.3398866034537137
LORD-3_C3_2017-03-09,LORD-3_C3,LORD-3,C3,Control,C,2017-03-09,6,143.0,2,1,LORD-3_C3_2017-03-09_Blue_r002_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.23743148591058,978,978.0,0.6775105298160053,577.065026811783,0.2773047467283248,0.6090323679464615,22.0,1709.0,1.747443762781186,15.865864492116122,1929.0,0.0034179729257446,0.1140487299118714,1916.195884303656,0.0033952854603283,0.127042885807553,0.0949489250569801,0.3909676320535384
LORD-4_C1_2017-03-02,LORD-4_C1,LORD-4,C1,Control,C,2017-03-02,5,120.0,1,1,LORD-4_C1_2017-03-02_Blue_r001_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.171138446245484,1445,1445.0,1.0010252715584127,576.3956123959234,0.3040317909303811,0.423013425576293,72.0,2881.0,1.9937716262975775,15.96673248619052,3601.0,0.0043234914855312,0.1999444598722577,3624.767120659102,0.004352027154458,11.12263006403712,10.964270473572125,0.5769865744237069
LORD-4_C1_2017-03-02,LORD-4_C1,LORD-4,C1,Control,C,2017-03-02,5,120.0,2,1,LORD-4_C1_2017-03-02_Blue_r002_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.171138446245484,1221,1221.0,0.8458490356905343,576.7543502295242,0.2979703855461428,0.5121528890280362,24.0,2270.0,1.859131859131859,16.096474897174144,2510.0,0.0035642419599851,0.095617529880478,2493.5190221413177,0.0035408386959112,0.1892847589106138,0.2063146264798715,0.4878471109719637
