frame,kind,participants,dV,dE,dF,evidence,run
6,division,"{""parent"": 136, ""children"": [62, 2056]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",gt_ids
6,division,"{""parent"": 1749, ""children"": [16, 2031]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",gt_ids
6,extrusion,"{""cell"": 196, ""sides"": 4, ""neighbours"": [184, 186, 198, 201]}",-3.0,-4.0,-1.0,"{""neighbours_meet_at_vertex"": false, ""new_contacts_among_neighbours"": 1}",gt_ids
6,rupture,"{""gap"": -3, ""cells"": [55, 307], ""caps"": [10, 43]}",2.0,3.0,1.0,{},gt_ids
6,gap_nucleation,"{""gap"": -2, ""cells"": [144, 149, 169], ""sides"": 3}",2.0,3.0,1.0,{},gt_ids
6,t1,"{""lost"": [48, 74], ""gained"": [0, 73], ""cells"": [0, 48, 73, 74]}",0.0,0.0,0.0,"{""side_change"": {""48"": -1, ""74"": 0, ""0"": 2, ""73"": 2}, ""charge_delta"": -3, ""generic"": false, ""isolated"": false}",gt_ids
6,t1,"{""lost"": [53, 1706], ""gained"": [58, 1705], ""cells"": [53, 58, 1705, 1706]}",0.0,0.0,0.0,"{""side_change"": {""53"": -1, ""1706"": -1, ""58"": 1, ""1705"": 1}, ""charge_delta"": 0, ""generic"": true, ""isolated"": true}",gt_ids
6,t1,"{""lost"": [85, 145], ""gained"": [-1, 73], ""cells"": [-1, 73, 85, 145]}",0.0,0.0,0.0,"{""side_change"": {""85"": -1, ""145"": -1, ""-1"": 1, ""73"": 2}, ""charge_delta"": -1, ""generic"": false, ""isolated"": false}",gt_ids
6,t1,"{""lost"": [92, 1162], ""gained"": [51, 81], ""cells"": [51, 81, 92, 1162]}",0.0,0.0,0.0,"{""side_change"": {""92"": -1, ""1162"": -1, ""51"": 1, ""81"": 1}, ""charge_delta"": 0, ""generic"": true, ""isolated"": true}",gt_ids
6,t1,"{""lost"": [109, 145], ""gained"": [0, 94], ""cells"": [0, 94, 109, 145]}",0.0,0.0,0.0,"{""side_change"": {""109"": -1, ""145"": -1, ""0"": 2, ""94"": 1}, ""charge_delta"": -1, ""generic"": false, ""isolated"": false}",gt_ids
6,contact_birth,"{""cells"": [14, 99]}",1.0,1.0,0.0,"{""connectivity_change"": false}",gt_ids
6,contact_birth,"{""cells"": [74, 145]}",1.0,1.0,0.0,"{""connectivity_change"": false}",gt_ids
6,contact_birth,"{""cells"": [186, 201]}",1.0,1.0,0.0,"{""connectivity_change"": false}",gt_ids
7,division,"{""parent"": 94, ""children"": [63, 2236]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",gt_ids
7,gap_nucleation,"{""gap"": -6, ""cells"": [58, 65, 76], ""sides"": 3}",2.0,3.0,1.0,{},gt_ids
7,gap_nucleation,"{""gap"": -5, ""cells"": [154, 709, 980], ""sides"": 3}",2.0,3.0,1.0,{},gt_ids
7,rupture,"{""gap"": -4, ""cells"": [176, 194], ""caps"": []}",2.0,3.0,1.0,{},gt_ids
7,gap_closure,"{""gap"": -3, ""cells"": [144, 149, 169], ""sides"": 3}",-2.0,-3.0,-1.0,{},gt_ids
7,reseal,"{""gap"": -2, ""cells"": [85, 145], ""caps"": [73, 74]}",-2.0,-3.0,-1.0,{},gt_ids
7,reseal,"{""gap"": -1, ""cells"": [55, 307], ""caps"": [10, 43]}",-2.0,-3.0,-1.0,{},gt_ids
7,t1,"{""lost"": [0, 73], ""gained"": [48, 74], ""cells"": [0, 48, 73, 74]}",0.0,0.0,0.0,"{""side_change"": {""0"": -1, ""73"": -2, ""48"": 0, ""74"": 0}, ""charge_delta"": 3, ""generic"": false, ""isolated"": false}",gt_ids
7,t1,"{""lost"": [3, 33], ""gained"": [1, 29], ""cells"": [1, 3, 29, 33]}",0.0,0.0,0.0,"{""side_change"": {""3"": -1, ""33"": -1, ""1"": 1, ""29"": 1}, ""charge_delta"": 0, ""generic"": true, ""isolated"": true}",gt_ids
7,t1,"{""lost"": [40, 48], ""gained"": [32, 42], ""cells"": [32, 40, 42, 48]}",0.0,0.0,0.0,"{""side_change"": {""40"": -1, ""48"": 0, ""32"": 1, ""42"": 1}, ""charge_delta"": -1, ""generic"": false, ""isolated"": false}",gt_ids
8,division,"{""parent"": 59, ""children"": [5, 2443]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",gt_ids
8,division,"{""parent"": 60, ""children"": [82, 91]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",gt_ids
8,division,"{""parent"": 63, ""children"": [37, 83]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",gt_ids
8,division,"{""parent"": 133, ""children"": [2541, 2565]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",gt_ids
8,division,"{""parent"": 221, ""children"": [54, 2661]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",gt_ids
8,extrusion,"{""cell"": 1539, ""sides"": 4, ""neighbours"": [30, 155, 162, 185]}",-3.0,-4.0,-1.0,"{""neighbours_meet_at_vertex"": false, ""new_contacts_among_neighbours"": 1}",gt_ids
8,rupture,"{""gap"": -5, ""cells"": [85, 145], ""caps"": [73, 74]}",2.0,3.0,1.0,{},gt_ids
8,gap_appearance,"{""gap"": -4, ""cells"": [37, 109, 145]}",,,,{},gt_ids
8,reseal,"{""gap"": -3, ""cells"": [176, 194], ""caps"": []}",-2.0,-3.0,-1.0,{},gt_ids
8,gap_closure,"{""gap"": -2, ""cells"": [154, 709, 980], ""sides"": 3}",-2.0,-3.0,-1.0,{},gt_ids
8,gap_closure,"{""gap"": -1, ""cells"": [58, 65, 76], ""sides"": 3}",-2.0,-3.0,-1.0,{},gt_ids
