image_id,condition,replicate,statistic,mean,ci_lo,ci_hi,n_hypotheses_total,ess
EGM2_regular_18-20dyn-65,high_shear,rep 3,reticular_fraction,0.240770365806,0.240663900415,0.241666666667,32,4
EGM2_regular_18-20dyn-65,high_shear,rep 3,area_degree_spearman,0.780811632044,0.771518459734,0.787667898978,32,4
EGM2_regular_18-20dyn-65,high_shear,rep 3,all_reticular_3clique_enrichment_z,1.29431471662,1.24481115053,1.34807851921,32,4
EGM2_regular_18-20dyn-66,high_shear,rep 3,reticular_fraction,0.161953589367,0.154166666667,0.168776371308,32,4
EGM2_regular_18-20dyn-66,high_shear,rep 3,area_degree_spearman,0.870490363604,0.861030802542,0.873640698771,32,4
EGM2_regular_18-20dyn-66,high_shear,rep 3,all_reticular_3clique_enrichment_z,1.67301924152,1.47600396396,1.87024789329,32,4
EGM2_regular_18-20dyn-67,high_shear,rep 3,reticular_fraction,0.26550530232,0.26368159204,0.267676767677,32,4
EGM2_regular_18-20dyn-67,high_shear,rep 3,area_degree_spearman,0.824367190358,0.813615664321,0.825684112395,32,4
EGM2_regular_18-20dyn-67,high_shear,rep 3,all_reticular_3clique_enrichment_z,-0.746484659045,-1.06222158383,-0.258247444235,32,4
EGM2_regular_18-20dyn-68,high_shear,rep 3,reticular_fraction,0.315939975788,0.313725490196,0.318407960199,32,4
EGM2_regular_18-20dyn-68,high_shear,rep 3,area_degree_spearman,0.806911481785,0.791911385082,0.814348388592,32,4
EGM2_regular_18-20dyn-68,high_shear,rep 3,all_reticular_3clique_enrichment_z,0.52537986913,0.452022364936,0.536491428059,32,4
EGM2_regular_18-20dyn-69,high_shear,rep 3,reticular_fraction,0.233614212045,0.233502538071,0.233502538071,32,4
EGM2_regular_18-20dyn-69,high_shear,rep 3,area_degree_spearman,0.858125926428,0.857449606295,0.864017215675,32,4
EGM2_regular_18-20dyn-69,high_shear,rep 3,all_reticular_3clique_enrichment_z,1.2472241389,1.21173070807,1.3004726953,32,4
EGM2_regular_18-20dyn-70,high_shear,rep 3,reticular_fraction,0.181448656467,0.179916317992,0.184549356223,32,4
EGM2_regular_18-20dyn-70,high_shear,rep 3,area_degree_spearman,0.788276301092,0.776613509136,0.79477905898,32,4
EGM2_regular_18-20dyn-70,high_shear,rep 3,all_reticular_3clique_enrichment_z,0.115235395442,0.0974964509806,0.15362722116,32,4
EGM2_regular_6dyn-21,6dyne,rep 1,reticular_fraction,0.266795281737,0.265550239234,0.268115942029,24,4
EGM2_regular_6dyn-21,6dyne,rep 1,area_degree_spearman,0.623145130729,0.615342354624,0.63045179742,24,4
EGM2_regular_6dyn-21,6dyne,rep 1,all_reticular_3clique_enrichment_z,-0.0208931820994,-0.073811038717,0.0138192493749,24,4
EGM2_regular_6dyn-22,6dyne,rep 1,reticular_fraction,0.271841887442,0.269841269841,0.274,32,4
EGM2_regular_6dyn-22,6dyne,rep 1,area_degree_spearman,0.645102416883,0.637726082741,0.671962957571,32,4
EGM2_regular_6dyn-22,6dyne,rep 1,all_reticular_3clique_enrichment_z,1.35957607218,0.948721402902,1.59049994808,32,4
EGM2_regular_6dyn-23,6dyne,rep 1,reticular_fraction,0.222924197232,0.222672064777,0.226530612245,24,4
EGM2_regular_6dyn-23,6dyne,rep 1,area_degree_spearman,0.737843479726,0.730807059148,0.741609884366,24,4
EGM2_regular_6dyn-23,6dyne,rep 1,all_reticular_3clique_enrichment_z,0.210983337886,0.11736851465,0.274682810657,24,4
EGM2_regular_6dyn-24,6dyne,rep 1,reticular_fraction,0.284801300702,0.281323877069,0.290167865707,32,4
EGM2_regular_6dyn-24,6dyne,rep 1,area_degree_spearman,0.684161106147,0.675800784723,0.69667390612,32,4
EGM2_regular_6dyn-24,6dyne,rep 1,all_reticular_3clique_enrichment_z,-0.794503341876,-0.908011829021,-0.747786858121,32,4
EGM2_regular_6dyn-25,6dyne,rep 1,reticular_fraction,0.261814699694,0.261146496815,0.263383297645,32,4
EGM2_regular_6dyn-25,6dyne,rep 1,area_degree_spearman,0.666305662552,0.656166302435,0.680750985506,32,4
EGM2_regular_6dyn-25,6dyne,rep 1,all_reticular_3clique_enrichment_z,-0.272647800299,-0.307716425096,-0.219919209769,32,4
EGM2_regular_6dyn-26,6dyne,rep 1,reticular_fraction,0.23470035901,0.229064039409,0.241293532338,24,4
EGM2_regular_6dyn-26,6dyne,rep 1,area_degree_spearman,0.682830321813,0.67687792177,0.698138271289,24,4
EGM2_regular_6dyn-26,6dyne,rep 1,all_reticular_3clique_enrichment_z,-0.6249795993,-0.73013093624,-0.373880237567,24,4
EGM2_regular_6dyn-27,6dyne,rep 1,reticular_fraction,0.287515671748,0.286096256684,0.289189189189,30,4
