n_pred_cells,n_ref_cells,n_matched_cells,n_splits,n_merges,adjacency_pair_f1,adjacency_pair_precision,adjacency_pair_recall,adjacency_component_f1,n_pred_pairs,n_ref_pairs,n_pred_vertices,n_ref_vertices,vertex_f1,vertex_precision,vertex_recall,vertex_incident_set_accuracy,pq,ap50,boundary_f1,variant,image_id,dataset,n_vertex_merges,decode_s,proposal_s
362,351,270,39,45,0.48205128205128206,0.5164835164835165,0.4519230769230769,0.18758620689655173,273,312,16,29,0.22222222222222224,0.3125,0.1724137931034483,0.4,0.5795511871483524,0.6094808126410836,0.8492224087592,outside0_merge0.35,0008,haec,34,1.4507484436035156,1.6622231006622314
396,351,288,43,30,0.5390749601275917,0.5365079365079365,0.5416666666666666,0.20338983050847456,315,312,19,29,0.20833333333333334,0.2631578947368421,0.1724137931034483,0.4,0.5952611086274359,0.6274509803921569,0.8489635968341087,outside0_gap0.5,0008,haec,0,1.246654748916626,1.6622231006622314
414,370,281,82,23,0.2182410423452769,0.15296803652968036,0.3806818181818182,0.08250355618776671,876,352,566,43,0.026272577996715927,0.014134275618374558,0.18604651162790697,0.125,0.5439115627253505,0.558648111332008,0.836179228835685,legacy,0009,haec,0,1.4303691387176514,1.7940819263458252
410,370,289,54,29,0.5039999999999999,0.4748743718592965,0.5369318181818182,0.17469204927211646,398,352,57,43,0.1,0.08771929824561403,0.11627906976744186,0.2,0.5551059532737953,0.5885947046843177,0.8392591087575046,outside1,0009,haec,0,1.29829740524292,1.7940819263458252
410,370,294,49,29,0.5092989985693849,0.5129682997118156,0.5056818181818182,0.22064056939501783,347,352,31,43,0.13513513513513514,0.16129032258064516,0.11627906976744186,0.2,0.5837776417901666,0.6049382716049383,0.84219628100499,outside0.5,0009,haec,0,1.2732844352722168,1.7940819263458252
409,370,294,45,25,0.5007407407407407,0.5232198142414861,0.48011363636363635,0.23124231242312424,323,352,24,43,0.14925373134328357,0.20833333333333334,0.11627906976744186,0.2,0.5874368336871033,0.6061855670103092,0.8421892744798206,outside0,0009,haec,0,1.266442060470581,1.7940819263458252
409,370,286,41,23,0.4549763033175356,0.5124555160142349,0.4090909090909091,0.1889763779527559,281,352,16,43,0.10169491525423728,0.1875,0.06976744186046512,0.3333333333333333,0.5551154586307219,0.5801217038539553,0.832050547842552,inside0.5,0009,haec,0,1.222597599029541,1.7940819263458252
406,370,275,38,23,0.3843537414965987,0.4788135593220339,0.3210227272727273,0.1322081575246132,236,352,8,43,0.0,0.0,0.0,1.0,0.5086172075367492,0.5489021956087824,0.8072765404480434,inside1,0009,haec,0,1.1909985542297363,1.7940819263458252
409,370,295,44,25,0.5022288261515602,0.5264797507788161,0.48011363636363635,0.2318125770653514,321,352,24,43,0.14925373134328357,0.20833333333333334,0.11627906976744186,0.2,0.5889824651251525,0.609504132231405,0.8432241627553481,outside0_perm,0009,haec,0,1.2605583667755127,1.7940819263458252
404,370,296,42,25,0.5074626865671641,0.5345911949685535,0.48295454545454547,0.23267326732673269,318,352,24,43,0.14925373134328357,0.20833333333333334,0.11627906976744186,0.2,0.5958681491123695,0.6192468619246861,0.8440877132870449,outside0_merge0.2,0009,haec,5,1.4816553592681885,1.7940819263458252
375,370,280,37,34,0.4651898734177215,0.525,0.41761363636363635,0.23146944083224966,280,352,18,43,0.1639344262295082,0.2777777777777778,0.11627906976744186,0.2,0.5862323835091106,0.6021505376344086,0.8466136052652803,outside0_merge0.35,0009,haec,34,1.478752613067627,1.7940819263458252
409,370,294,45,25,0.5007407407407407,0.5232198142414861,0.48011363636363635,0.23124231242312424,323,352,24,43,0.14925373134328357,0.20833333333333334,0.11627906976744186,0.2,0.5874368336871033,0.6061855670103092,0.8421892744798206,outside0_gap0.5,0009,haec,0,1.2505309581756592,1.7940819263458252
501,445,328,126,23,0.1810810810810811,0.12430426716141002,0.3333333333333333,0.08613569321533923,1078,402,721,52,0.02328589909443726,0.012482662968099861,0.17307692307692307,0.3333333333333333,0.528861785195832,0.5307443365695793,0.8352583384269711,legacy,0011,haec,0,1.3725526332855225,1.7589001655578613
504,445,354,77,30,0.4324917672886937,0.38703339882121807,0.4900497512437811,0.1876208897485493,509,402,93,52,0.09655172413793103,0.07526881720430108,0.1346153846153846,0.7142857142857143,0.5591260951041357,0.5949579831932773,0.8470063495676531,outside1,0011,haec,0,1.3439018726348877,1.7589001655578613
505,445,354,75,31,0.4379391100702576,0.413716814159292,0.4651741293532338,0.2336065573770492,452,402,57,52,0.11009174311926606,0.10526315789473684,0.11538461538461539,0.6666666666666666,0.5790255267382513,0.5939597315436241,0.848282480316899,outside0.5,0011,haec,0,1.3161420822143555,1.7589001655578613
503,445,350,62,30,0.41490683229813663,0.4143920595533499,0.4154228855721393,0.2222222222222222,403,402,41,52,0.12903225806451613,0.14634146341463414,0.11538461538461539,0.6666666666666666,0.5766560911143791,0.5852842809364549,0.8463617961813305,outside0,0011,haec,0,1.2860150337219238,1.7589001655578613
501,445,342,55,28,0.39322916666666663,0.412568306010929,0.3756218905472637,0.19296254256526674,366,402,30,52,0.1219512195121951,0.16666666666666666,0.09615384615384616,0.4,0.5466576479339992,0.5662251655629139,0.8343483347785523,inside0.5,0011,haec,0,1.2780194282531738,1.7589001655578613
497,445,328,46,27,0.3386396526772793,0.40484429065743943,0.291044776119403,0.13249999999999998,289,402,12,52,0.03125,0.08333333333333333,0.019230769230769232,0.0,0.499036276967136,0.5342019543973942,0.8053356605268733,inside1,0011,haec,0,1.391998052597046,1.7589001655578613
499,445,347,62,30,0.41490683229813663,0.4143920595533499,0.4154228855721393,0.2222222222222222,403,402,41,52,0.12903225806451613,0.14634146341463414,0.11538461538461539,0.6666666666666666,0.5743879137657703,0.5812395309882747,0.8465462248819539,outside0_perm,0011,haec,0,1.2926809787750244,1.7589001655578613
499,445,353,59,29,0.4260651629072682,0.4292929292929293,0.4228855721393035,0.22637362637362637,396,402,38,52,0.13333333333333333,0.15789473684210525,0.11538461538461539,0.6666666666666666,0.5831641855148442,0.5972927241962775,0.8468081519542389,outside0_merge0.2,0011,haec,4,1.5176498889923096,1.7589001655578613
465,445,331,46,40,0.3820816864295125,0.4061624649859944,0.36069651741293535,0.20919540229885056,357,402,34,52,0.13953488372093026,0.17647058823529413,0.11538461538461539,0.6666666666666666,0.5669741130898479,0.5716753022452504,0.8485598301830124,outside0_merge0.35,0011,haec,38,1.5013723373413086,1.7589001655578613
503,445,350,62,30,0.41490683229813663,0.4143920595533499,0.4154228855721393,0.2222222222222222,403,402,41,52,0.12903225806451613,0.14634146341463414,0.11538461538461539,0.6666666666666666,0.5766560911143791,0.5852842809364549,0.8463617961813305,outside0_gap0.5,0011,haec,0,1.289588212966919,1.7589001655578613
537,487,399,123,16,0.24982456140350878,0.1743388834476004,0.4405940594059406,0.1168594035301278,1021,404,642,54,0.02586206896551724,0.014018691588785047,0.16666666666666666,0.1111111111111111,0.6126525423773717,0.6384,0.8734024929941654,legacy,0012,haec,0,1.4222257137298584,1.8942115306854248
536,487,414,62,21,0.5346756152125279,0.48775510204081635,0.5915841584158416,0.1582591493570722,490,404,100,54,0.051948051948051945,0.04,0.07407407407407407,0.5,0.6247225998143721,0.6798029556650246,0.8787066800248786,outside1,0012,haec,0,1.3952252864837646,1.8942115306854248
533,487,416,60,21,0.55819774718398,0.5645569620253165,0.551980198019802,0.27856365614798695,395,404,32,54,0.09302325581395349,0.125,0.07407407407407407,0.5,0.650588861194481,0.6887417218543046,0.8815466483515721,outside0.5,0012,haec,0,1.3801052570343018,1.8942115306854248
533,487,413,56,21,0.5518169582772543,0.6047197640117994,0.5074257425742574,0.28771929824561404,339,404,18,54,0.027777777777777776,0.05555555555555555,0.018518518518518517,1.0,0.6502136950468486,0.6803953871499177,0.8786873119451606,outside0,0012,haec,0,1.371750831604004,1.8942115306854248
530,487,403,47,22,0.49493487698986977,0.5958188153310104,0.42326732673267325,0.25499999999999995,287,404,9,54,0.031746031746031744,0.1111111111111111,0.018518518518518517,1.0,0.6193841164551668,0.6563517915309446,0.8638060813443927,inside0.5,0012,haec,0,1.342484712600708,1.8942115306854248
530,487,392,41,21,0.4444444444444444,0.6042553191489362,0.35148514851485146,0.17264276228419656,235,404,6,54,0.03333333333333333,0.16666666666666666,0.018518518518518517,1.0,0.5711133827844899,0.6272,0.8324571758633301,inside1,0012,haec,0,1.3157572746276855,1.8942115306854248
530,487,410,56,21,0.5518169582772543,0.6047197640117994,0.5074257425742574,0.28771929824561404,339,404,18,54,0.027777777777777776,0.05555555555555555,0.018518518518518517,1.0,0.6478686007253007,0.6754530477759473,0.8782846490037809,outside0_perm,0012,haec,0,1.3595898151397705,1.8942115306854248
531,487,414,54,21,0.5587044534412956,0.6142433234421365,0.5123762376237624,0.29073856975381,337,404,18,54,0.027777777777777776,0.05555555555555555,0.018518518518518517,1.0,0.6535898282347709,0.6854304635761589,0.8789651656133249,outside0_merge0.2,0012,haec,2,1.5843286514282227,1.8942115306854248
514,487,397,48,29,0.5055555555555555,0.5759493670886076,0.4504950495049505,0.26410564225690275,316,404,16,54,0.02857142857142857,0.0625,0.018518518518518517,1.0,0.6375301188953301,0.6572847682119205,0.879485611365932,outside0_merge0.35,0012,haec,19,1.7299373149871826,1.8942115306854248
533,487,413,56,21,0.5518169582772543,0.6047197640117994,0.5074257425742574,0.28771929824561404,339,404,18,54,0.027777777777777776,0.05555555555555555,0.018518518518518517,1.0,0.6502136950468486,0.6803953871499177,0.8786873119451606,outside0_gap0.5,0012,haec,0,1.4007620811462402,1.8942115306854248
494,436,358,101,19,0.21374045801526714,0.14221218961625282,0.4300341296928328,0.10282404055032586,886,293,533,34,0.03174603174603175,0.016885553470919325,0.2647058823529412,0.3333333333333333,0.6052010780476376,0.6258741258741258,0.8570071747537283,legacy,0013,haec,0,1.3923494815826416,1.6500048637390137
493,436,370,57,18,0.4683357879234168,0.4119170984455959,0.5426621160409556,0.1625,386,293,75,34,0.11009174311926606,0.08,0.17647058823529413,0.5,0.6023147746037297,0.6618962432915921,0.8396403857985918,outside1,0013,haec,0,1.363407850265503,1.6500048637390137
493,436,376,53,20,0.49752883031301487,0.48089171974522293,0.515358361774744,0.2420907840440165,314,293,29,34,0.15873015873015872,0.1724137931034483,0.14705882352941177,0.6,0.6319267569885294,0.6799276672694394,0.8527632625012158,outside0.5,0013,haec,0,1.3332161903381348,1.6500048637390137
492,436,372,52,23,0.5026548672566372,0.5220588235294118,0.48464163822525597,0.26666666666666666,272,293,19,34,0.1509433962264151,0.21052631578947367,0.11764705882352941,0.5,0.6362735179539046,0.6690647482014388,0.8549600923987904,outside0,0013,haec,0,1.3043673038482666,1.6500048637390137
489,436,363,45,21,0.47368421052631576,0.5271966527196653,0.4300341296928328,0.25914634146341464,239,293,15,34,0.163265306122449,0.26666666666666666,0.11764705882352941,0.5,0.6152410191636298,0.6459074733096085,0.8451576707344337,inside0.5,0013,haec,0,1.2932865619659424,1.6500048637390137
486,436,350,36,20,0.42362525458248473,0.5252525252525253,0.35494880546075086,0.1615508885298869,198,293,8,34,0.09523809523809523,0.25,0.058823529411764705,1.0,0.57637417861261,0.6118881118881119,0.8195310611940492,inside1,0013,haec,0,1.2761731147766113,1.6500048637390137
486,436,370,52,23,0.5026548672566372,0.5220588235294118,0.48464163822525597,0.26666666666666666,272,293,19,34,0.1509433962264151,0.21052631578947367,0.11764705882352941,0.5,0.6368389474536772,0.6702898550724637,0.8559097411817368,outside0_perm,0013,haec,0,1.315779685974121,1.6500048637390137
489,436,372,51,23,0.5088967971530249,0.5315985130111525,0.4880546075085324,0.2678311499272198,269,293,19,34,0.1509433962264151,0.21052631578947367,0.11764705882352941,0.5,0.6388739458443119,0.6726943942133815,0.8553983893124536,outside0_merge0.2,0013,haec,3,1.5232510566711426,1.6500048637390137
469,436,356,43,27,0.4990757855822551,0.5443548387096774,0.46075085324232085,0.26888217522658614,248,293,18,34,0.15384615384615383,0.2222222222222222,0.11764705882352941,0.5,0.6306957857722684,0.6484517304189436,0.8568475933576108,outside0_merge0.35,0013,haec,23,1.5245962142944336,1.6500048637390137
492,436,372,52,23,0.5026548672566372,0.5220588235294118,0.48464163822525597,0.26666666666666666,272,293,19,34,0.1509433962264151,0.21052631578947367,0.11764705882352941,0.5,0.6362735179539046,0.6690647482014388,0.8549600923987904,outside0_gap0.5,0013,haec,0,1.3188056945800781,1.6500048637390137
530,475,403,107,10,0.22715627668659263,0.15011286681715574,0.4666666666666667,0.12247946228528753,886,285,510,27,0.037243947858473,0.0196078431372549,0.37037037037037035,0.6,0.6418783598329904,0.6694352159468439,0.8821976838304536,legacy,0014,haec,0,1.425088882446289,1.748213529586792
527,475,415,52,8,0.5323308270676692,0.46578947368421053,0.6210526315789474,0.21447721179624665,380,285,61,27,0.20454545454545456,0.14754098360655737,0.3333333333333333,0.6666666666666666,0.6442695743870023,0.706984667802385,0.8701419971334097,outside1,0014,haec,0,1.3938539028167725,1.748213529586792
527,475,417,51,10,0.5619834710743801,0.53125,0.5964912280701754,0.277056277056277,320,285,30,27,0.3157894736842105,0.3,0.3333333333333333,0.6666666666666666,0.6657864273627812,0.7128205128205128,0.8781516593146045,outside0.5,0014,haec,0,1.3769469261169434,1.748213529586792
525,475,412,48,9,0.5615942028985508,0.5805243445692884,0.543859649122807,0.2915360501567397,267,285,21,27,0.375,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.6666946604099994,0.7006802721088435,0.8767815932069563,outside0,0014,haec,0,1.3572490215301514,1.748213529586792
524,475,407,45,10,0.5341130604288499,0.6008771929824561,0.4807017543859649,0.2857142857142857,228,285,17,27,0.409090909090909,0.5294117647058824,0.3333333333333333,0.6666666666666666,0.6439484598169734,0.6875,0.8617578163145383,inside0.5,0014,haec,0,1.4418087005615234,1.748213529586792
523,475,394,36,10,0.4430107526881721,0.5722222222222222,0.36140350877192984,0.17184643510054845,180,285,9,27,0.1111111111111111,0.2222222222222222,0.07407407407407407,0.5,0.5982854474732321,0.652317880794702,0.8268415265792353,inside1,0014,haec,0,1.2926609516143799,1.748213529586792
525,475,412,48,9,0.5615942028985508,0.5805243445692884,0.543859649122807,0.2915360501567397,267,285,21,27,0.375,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.6666946604099994,0.7006802721088435,0.8767815932069563,outside0_perm,0014,haec,0,1.3437132835388184,1.748213529586792
524,475,412,47,9,0.5626134301270418,0.5827067669172933,0.543859649122807,0.2919937205651491,266,285,21,27,0.375,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.668090206363587,0.7018739352640545,0.8773879524144795,outside0_merge0.2,0014,haec,1,1.5819730758666992,1.748213529586792
509,475,407,42,13,0.5666041275797374,0.6088709677419355,0.5298245614035088,0.3079416531604538,248,285,18,27,0.3555555555555555,0.4444444444444444,0.2962962962962963,0.75,0.6717963822490111,0.7053726169844021,0.8780197746604951,outside0_merge0.35,0014,haec,16,1.5889909267425537,1.748213529586792
525,475,412,48,9,0.5615942028985508,0.5805243445692884,0.543859649122807,0.2915360501567397,267,285,21,27,0.375,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.6666946604099994,0.7006802721088435,0.8767815932069563,outside0_gap0.5,0014,haec,0,1.345196008682251,1.748213529586792
434,415,338,118,23,0.19672131147540983,0.13636363636363635,0.35294117647058826,0.09236947791164658,616,238,320,13,0.018018018018018018,0.009375,0.23076923076923078,0.0,0.6297539367461499,0.6614481409001957,0.8599908600802828,legacy,0016,haec,0,1.3687305450439453,1.642963171005249
