statistic,mean,sd,ci_lo,ci_hi,map,n_hypotheses,ess,image_id,condition,replicate,geometry_source,proposer,n_hypotheses_total,downsample
all_reticular_3clique_fraction,0.0036977875556622,2.986600271804146e-05,0.003690036900369,0.0037037037037037,0.0037037037037037,32,4.0,EGM2_regular_18-20dyn-10,high_shear,rep 1,junction_channel,neural:best.pt,32,1
area_degree_spearman,0.714096477954788,0.0080177102548169,0.7054033660794742,0.7301235556534019,0.7094036973688093,32,4.0,EGM2_regular_18-20dyn-10,high_shear,rep 1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_enrichment_z,-0.6393957345981252,0.0214470964845067,-0.6575989451291554,-0.5944808051402996,-0.6575989451291554,32,4.0,EGM2_regular_18-20dyn-10,high_shear,rep 1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_null_mean,0.0067142410957976,9.477473990983208e-05,0.0065276752767527,0.0068037037037037,0.0068037037037037,32,4.0,EGM2_regular_18-20dyn-10,high_shear,rep 1,junction_channel,neural:best.pt,32,1
tricellular_realized_3clique_fraction,0.9741162336006288,4.76255667903594e-05,0.974074074074074,0.974169741697417,0.974074074074074,32,4.0,EGM2_regular_18-20dyn-10,high_shear,rep 1,junction_channel,neural:best.pt,32,1
n_cells,166.79865383321126,0.968507154275179,166.0,168.0,166.0,32,4.0,EGM2_regular_18-20dyn-10,high_shear,rep 1,junction_channel,neural:best.pt,32,1
n_cell_cell_edges,443.2395327724255,2.3322444712664225,441.0,446.0,441.0,32,4.0,EGM2_regular_18-20dyn-10,high_shear,rep 1,junction_channel,neural:best.pt,32,1
mean_degree,5.170852210923676,0.0130349150796896,5.154761904761905,5.180722891566265,5.180722891566265,32,4.0,EGM2_regular_18-20dyn-10,high_shear,rep 1,junction_channel,neural:best.pt,32,1
reticular_fraction,0.1586839585053693,0.0076880086098242,0.1525423728813559,0.1708683473389355,0.1536312849162011,32,4.0,EGM2_regular_18-20dyn-51,high_shear,rep 2,junction_channel,neural:best.pt,32,1
all_reticular_3clique_fraction,0.0046323784871144,3.119392110509622e-05,0.0046082949308755,0.0046728971962616,0.0046296296296296,32,4.0,EGM2_regular_18-20dyn-51,high_shear,rep 2,junction_channel,neural:best.pt,32,1
area_degree_spearman,0.8037933629544173,0.0046207422970515,0.7940372027401561,0.8068347763445193,0.8057136139299145,32,4.0,EGM2_regular_18-20dyn-51,high_shear,rep 2,junction_channel,neural:best.pt,32,1
all_reticular_3clique_enrichment_z,0.1043093868964418,0.1560283435929444,-0.1295964097111653,0.2592210209290262,0.1872482663322343,32,4.0,EGM2_regular_18-20dyn-51,high_shear,rep 2,junction_channel,neural:best.pt,32,1
all_reticular_3clique_null_mean,0.0042488227785811,0.0006545715513396,0.0036495327102803,0.0052258064516129,0.0038796296296296,32,4.0,EGM2_regular_18-20dyn-51,high_shear,rep 2,junction_channel,neural:best.pt,32,1
tricellular_realized_3clique_fraction,0.9352668477575176,0.0006316979398686,0.9345794392523364,0.935483870967742,0.9351851851851852,32,4.0,EGM2_regular_18-20dyn-51,high_shear,rep 2,junction_channel,neural:best.pt,32,1
n_cells,138.6837394279655,0.7055766785010421,137.0,139.0,139.0,32,4.0,EGM2_regular_18-20dyn-51,high_shear,rep 2,junction_channel,neural:best.pt,32,1
n_cell_cell_edges,357.7175965595192,1.6108055442044489,354.0,360.0,358.0,32,4.0,EGM2_regular_18-20dyn-51,high_shear,rep 2,junction_channel,neural:best.pt,32,1
mean_degree,4.969471364887348,0.0088757687961364,4.9640287769784175,4.985507246376812,4.9640287769784175,32,4.0,EGM2_regular_18-20dyn-51,high_shear,rep 2,junction_channel,neural:best.pt,32,1
reticular_fraction,0.1299627106029338,0.0004929390638759,0.1295774647887324,0.1306818181818181,0.1295774647887324,32,4.000000000000001,EGM2_regular_18-20dyn-52,high_shear,rep 2,junction_channel,neural:best.pt,32,1
all_reticular_3clique_fraction,0.0044749466779675,7.875747763734773e-05,0.0044642857142857,0.0044843049327354,0.0044642857142857,32,4.000000000000001,EGM2_regular_18-20dyn-52,high_shear,rep 2,junction_channel,neural:best.pt,32,1
area_degree_spearman,0.8250637120112337,0.0037721730654455,0.8194052376368859,0.828511010643833,0.828511010643833,32,4.000000000000001,EGM2_regular_18-20dyn-52,high_shear,rep 2,junction_channel,neural:best.pt,32,1
all_reticular_3clique_enrichment_z,0.7465778524626687,0.0689472789216221,0.6534552826959934,0.8102683577189913,0.8018005354834772,32,4.000000000000001,EGM2_regular_18-20dyn-52,high_shear,rep 2,junction_channel,neural:best.pt,32,1
all_reticular_3clique_null_mean,0.0021933575999163,0.0001247532782981,0.0020758928571428,0.0023677130044843,0.0020758928571428,32,4.000000000000001,EGM2_regular_18-20dyn-52,high_shear,rep 2,junction_channel,neural:best.pt,32,1
tricellular_realized_3clique_fraction,0.9195751100152784,0.0006103884775009,0.9192825112107624,0.9196428571428572,0.9196428571428572,32,4.000000000000001,EGM2_regular_18-20dyn-52,high_shear,rep 2,junction_channel,neural:best.pt,32,1
n_cells,135.87259950638122,0.434387680815847,135.0,136.0,136.0,32,4.000000000000001,EGM2_regular_18-20dyn-52,high_shear,rep 2,junction_channel,neural:best.pt,32,1
n_cell_cell_edges,353.8205659922779,1.428808654413298,352.0,355.0,355.0,32,4.000000000000001,EGM2_regular_18-20dyn-52,high_shear,rep 2,junction_channel,neural:best.pt,32,1
mean_degree,5.082824288850628,0.0077723150265336,5.073529411764706,5.0962962962962965,5.088235294117647,32,4.000000000000001,EGM2_regular_18-20dyn-52,high_shear,rep 2,junction_channel,neural:best.pt,32,1
reticular_fraction,0.1173223563324127,0.0006247952917886,0.1164021164021164,0.1179624664879356,0.1179624664879356,32,4.0,EGM2_regular_18-20dyn-53,high_shear,rep 2,junction_channel,neural:best.pt,32,1
all_reticular_3clique_fraction,0.0044692028876908,1.5660772533427392e-05,0.0044444444444444,0.0044843049327354,0.0044843049327354,32,4.0,EGM2_regular_18-20dyn-53,high_shear,rep 2,junction_channel,neural:best.pt,32,1
area_degree_spearman,0.7524017899307149,0.0066557511420861,0.7458257626656594,0.7644875585801885,0.7458257626656594,32,4.0,EGM2_regular_18-20dyn-53,high_shear,rep 2,junction_channel,neural:best.pt,32,1
