cell_i,cell_j,edge_id,component_index,face_i,face_j,contact_px,arclength_um,iface_cy,iface_cx,n_components,arclength_px,n_bins,mean_intensity,max_intensity,occupancy,continuity,n_segments,gap_fraction,width_mean_px,width_cv,left_intensity,right_intensity,threshold,AJ_occupancy,AJ_mean_intensity,AJ_max_intensity,AJ_skeleton_len,AJ_cluster_count,AJ_cluster_density,AJ_thickness_proxy,AJ_morph_label,aj_morph,aj_occupancy,has_AJ,AJ_threshold
66,334,782,0,254,270,38.32755226484609,,474.16796875,910.89453125,1,38.32755226484609,38,885.3877310121345,1485.5501834959612,0.44360902255639095,0.47368421052631576,2,0.21052631578947367,3.933333333333333,0.4448950762171759,913.7571079594311,792.6794162029372,874.8116629984961,0.44360902255639095,885.3877310121345,1485.5501834959612,17.002447997187364,2,0.05218178260327868,3.933333333333333,thick,thick,0.44360902255639095,True,874.8116629984961
194,569,783,0,244,246,10.393004891419546,,461.859375,968.140625,1,10.393004891419546,10,774.409475983698,1302.04186387663,0.22857142857142856,0.4,2,0.4,2.6666666666666665,0.3535533905932738,680.252022077919,803.9558870758982,874.8116629984961,0.22857142857142856,774.409475983698,1302.04186387663,2.3755439751816105,2,0.19243712678815325,2.6666666666666665,punctate,punctate,0.22857142857142856,True,874.8116629984961
129,189,784,0,217,274,9.762745991116699,,462.13671875,515.85546875,1,9.762745991116699,10,832.6363829369405,1359.154209018749,0.4142857142857143,1.0,1,0.0,2.9,0.2864353056178646,755.8037958789791,823.7850130749766,874.8116629984961,0.4142857142857143,832.6363829369405,1359.154209018749,4.044566196319775,1,0.10243019749872816,2.9,thick,thick,0.4142857142857143,True,874.8116629984961
74,210,785,0,247,272,45.26092791960974,,481.6484375,855.71875,1,45.26092791960974,45,973.6930565996029,1905.5820469878317,0.6222222222222222,1.0,1,0.0,4.355555555555555,0.3815971826799011,923.5762304500378,952.7934985429698,874.8116629984961,0.6222222222222222,973.6930565996029,1905.5820469878317,28.162355149979394,1,0.022094111764039644,4.355555555555555,thick,thick,0.6222222222222222,True,874.8116629984961
79,168,786,0,240,275,73.59083196280793,,466.1015625,724.1015625,1,73.59083196280793,74,763.3750113528878,1690.16839300677,0.23745173745173745,0.22972972972972974,7,0.31081081081081086,2.411764705882353,0.4657621329236587,721.1668177848688,725.3568841611345,874.8116629984961,0.23745173745173745,763.3750113528878,1690.16839300677,17.474270910087597,7,0.0951205444115339,2.411764705882353,reticular,reticular,0.23745173745173745,True,874.8116629984961
168,321,787,0,275,242,17.9827661536372,,463.25,767.75,1,17.9827661536372,18,852.7442537492506,1499.9476049965933,0.373015873015873,0.6111111111111112,1,0.38888888888888884,4.2727272727272725,0.45831189847953224,847.6822443526772,801.8846411602957,874.8116629984961,0.373015873015873,852.7442537492506,1499.9476049965933,6.707857216039273,1,0.05560879741505951,4.2727272727272725,punctate,punctate,0.373015873015873,True,874.8116629984961
294,493,788,0,260,271,29.074236963081518,,473.171875,666.171875,1,29.074236963081518,29,819.0260924673355,1488.6139297488528,0.31527093596059114,0.4827586206896552,3,0.06896551724137934,2.3703703703703702,0.5642334401646184,809.210254201405,750.5279679504297,874.8116629984961,0.31527093596059114,819.0260924673355,1488.6139297488528,9.166261899690724,3,0.10318413528132833,2.3703703703703702,discontinuous,discontinuous,0.31527093596059114,True,874.8116629984961
168,493,789,0,275,271,45.3144925600226,,480.46875,696.5390625,1,45.3144925600226,45,858.1039263991007,2011.9411000182777,0.45396825396825397,1.0,1,0.0,3.1777777777777776,0.35285247025294725,807.2582634718699,810.8736847502962,874.8116629984961,0.45396825396825397,858.1039263991007,2011.9411000182777,20.571341066930895,1,0.022067995104996962,3.1777777777777776,thick,thick,0.45396825396825397,True,874.8116629984961
153,602,790,0,276,256,41.341776924835216,,462.6484375,18.3515625,1,41.341776924835216,41,821.3713597682689,1547.672996347507,0.34494773519163763,0.34146341463414637,4,0.19512195121951215,3.0,0.41030496993110915,849.8280892471802,728.5660619310642,874.8116629984961,0.34494773519163763,821.3713597682689,1547.672996347507,14.260752319019813,4,0.0967544285112013,3.0,discontinuous,discontinuous,0.34494773519163763,True,874.8116629984961
47,55,791,0,277,266,44.88885732645859,,471.25,798.75,1,44.88885732645859,45,1173.8777234031372,2112.9721429035208,0.8031746031746032,1.0,1,0.0,5.622222222222222,0.1202776605114857,1174.3055071872373,1052.1083629630898,874.8116629984961,0.8031746031746032,1173.8777234031372,2112.9721429035208,36.053590170139756,1,0.022277243386424443,5.622222222222222,thick,thick,0.8031746031746032,True,874.8116629984961
365,438,792,0,273,267,53.63784957566858,,477.390625,479.609375,1,53.63784957566858,54,861.344737595408,1644.8449514587082,0.5,1.0,1,0.0,3.5,0.42857142857142855,809.464582640781,823.0222838441967,874.8116629984961,0.5,861.344737595408,1644.8449514587082,26.81892478783429,1,0.018643551296538628,3.5,thick,thick,0.5,True,874.8116629984961
