tile,n_ref_vertices,n_pred_vertices,n_matched,n_missed,n_spurious,weighted_frac,set
data/tiles/gt_haec_train/field_00048_r0688_c0688.npz,36,38,16,20,22,0.0282630920410156,haec
data/tiles/gt_haec_train/field_00049_r0688_c0400.npz,5,3,1,4,2,0.0041770935058593,haec
data/tiles/gt_haec_train/field_00050_r0688_c0000.npz,10,8,1,9,7,0.0106048583984375,haec
data/tiles/gt_haec_train/field_00051_r0400_c0688.npz,9,10,4,5,6,0.0069580078125,haec
data/tiles/gt_haec_train/field_00052_r0400_c0400.npz,4,1,0,4,1,0.0034599304199218,haec
data/tiles/gt_haec_train/field_00053_r0400_c0000.npz,3,1,0,3,1,0.0024948120117187,haec
data/tiles/gt_haec_train/field_00054_r0000_c0688.npz,3,3,0,3,3,0.0043792724609375,haec
data/tiles/gt_haec_train/field_00055_r0000_c0400.npz,9,6,0,9,6,0.009857177734375,haec
data/tiles/gt_haec_train/field_00056_r0000_c0000.npz,2,0,0,2,0,0.0012168884277343,haec
data/tiles/gt_haec_train/field_00056_r0688_c0688.npz,9,12,5,4,7,0.00701904296875,haec
data/tiles/gt_haec_train/field_00057_r0688_c0400.npz,9,9,3,6,6,0.0085029602050781,haec
data/tiles/gt_haec_train/field_00058_r0688_c0000.npz,2,1,1,1,0,0.0007514953613281,haec
data/tiles/gt_haec_train/field_00059_r0400_c0688.npz,21,3,1,20,2,0.0147590637207031,haec
data/tiles/gt_haec_train/field_00060_r0400_c0400.npz,5,3,1,4,2,0.0045089721679687,haec
data/tiles/gt_haec_train/field_00061_r0400_c0000.npz,5,3,0,5,3,0.0056343078613281,haec
data/tiles/gt_haec_train/field_00062_r0000_c0688.npz,2,3,0,2,3,0.0033416748046875,haec
data/tiles/gt_haec_train/field_00063_r0000_c0400.npz,0,0,0,0,0,0.0,haec
data/tiles/gt_haec_train/field_00064_r0000_c0000.npz,6,2,1,5,1,0.0041313171386718,haec
data/tiles/gt_haec_train/field_00064_r0688_c0688.npz,4,2,0,4,2,0.0043525695800781,haec
data/tiles/gt_haec_train/field_00065_r0688_c0400.npz,2,2,0,2,2,0.0030059814453125,haec
data/tiles/gt_haec_train/field_00066_r0688_c0000.npz,7,1,1,6,0,0.0041313171386718,haec
data/tiles/gt_haec_train/field_00067_r0400_c0688.npz,1,3,0,1,3,0.0030059814453125,haec
data/tiles/gt_haec_train/field_00068_r0400_c0400.npz,5,1,0,5,1,0.0044364929199218,haec
data/tiles/gt_haec_train/field_00069_r0400_c0000.npz,19,15,5,14,10,0.0165443420410156,haec
data/tiles/gt_haec_train/field_00070_r0000_c0688.npz,9,6,1,8,5,0.0080909729003906,haec
data/tiles/gt_haec_train/field_00071_r0000_c0400.npz,6,4,2,4,2,0.0044059753417968,haec
data/tiles/gt_haec_train/field_00072_r0000_c0000.npz,3,3,2,1,1,0.0014686584472656,haec
data/tiles/gt_haec_train/field_00072_r0688_c0688.npz,1,1,0,1,1,0.0015029907226562,haec
data/tiles/gt_haec_train/field_00073_r0688_c0400.npz,7,0,0,7,0,0.0050315856933593,haec
data/tiles/gt_haec_train/field_00074_r0688_c0000.npz,6,1,1,5,0,0.0037574768066406,haec
data/tiles/gt_haec_train/field_00075_r0400_c0688.npz,5,2,0,5,2,0.0047760009765625,haec
data/tiles/gt_haec_train/field_00076_r0400_c0400.npz,6,1,0,6,1,0.0052604675292968,haec
data/tiles/gt_haec_train/field_00077_r0400_c0000.npz,3,2,1,2,1,0.0021820068359375,haec
data/tiles/gt_haec_train/field_00078_r0000_c0688.npz,3,3,0,3,3,0.0043373107910156,haec
