face_id,label,area_poly_px,area_pixels,perimeter_px,n_sides,n_cell_neighbors_multiplicity,n_cell_neighbors_distinct,n_gap_sides,n_holes,touches_border,centroid_row,centroid_col,area_um2,perimeter_um
145,161,1836.1962890625,1837,211.06976907008914,5,5,5,0,0,False,225.1206063457795,995.823747910572,,
146,242,1027.2285766601562,1030,148.44902075934624,4,4,4,0,0,False,227.23316550753512,958.1076692310501,,
147,338,452.46763610839844,454,87.85899596307304,4,3,3,0,0,True,211.6201669889863,10.223295464315209,,
148,329,1180.1354370117188,1181,135.48385867908758,6,6,6,0,0,False,219.34827242206885,171.83988964529263,,
149,27,2391.967559814453,2389,286.64046001948833,10,9,9,1,1,False,247.28074217787292,865.5055888423879,,
150,412,499.2834014892578,500,92.67370973276059,3,3,3,0,0,False,213.36374879504123,30.993979074070783,,
151,155,1431.391357421875,1432,171.81066035138042,5,5,5,0,0,False,216.10457466335387,121.41816803206395,,
152,119,1738.1415100097656,1738,187.02898592912288,5,5,5,0,0,False,227.71620539825028,744.5093343534974,,
153,64,1321.8906707763672,1322,164.9526747628105,6,6,6,0,0,False,225.4480901236897,472.9739069302658,,
154,531,1831.596694946289,1831,215.88060641118489,6,5,5,0,0,True,231.60427423914288,39.21468216116715,,
155,574,1020.4774780273438,1019,153.7185233804356,5,5,5,0,0,False,227.56443575929072,268.611656725095,,
156,644,661.5852661132812,663,107.98420580452724,4,4,4,0,0,False,228.09467337681295,627.609575024465,,
157,449,5277.055099487305,5276,421.81630317700996,9,9,9,0,0,False,267.18004952833,722.5997372141015,,
158,29,1783.2186889648438,1784,234.47887566336664,5,5,5,0,0,False,233.8106209198254,224.26989801761522,,
159,382,1115.47265625,1115,140.36651062718497,6,6,6,0,0,False,234.36867222135768,819.150974873345,,
160,312,1224.4903259277344,1225,147.39467427455264,4,4,4,0,0,False,241.44109461237204,651.134917980511,,
161,146,1132.4414672851562,1132,209.4917415024571,6,5,5,0,0,True,258.09825157766335,1014.2877776322375,,
162,476,2428.948455810547,2425,337.76451673261806,10,10,10,0,0,False,249.37715463893662,114.3767375409931,,
163,374,1864.8343353271484,1865,207.86048262576966,6,6,6,0,0,False,249.55056220080544,345.1196167911224,,
164,184,1032.8231506347656,1034,148.82058856992862,3,3,3,0,0,False,244.0120156379205,382.28206294277055,,
165,445,668.2373962402344,669,102.10976357442425,4,4,4,0,0,False,242.89739501530343,844.0151099901005,,
166,103,921.7902526855469,921,126.02515507475692,6,6,6,0,0,False,247.3199433326576,434.37640488092194,,
167,592,3055.022720336914,3054,315.86573418972273,7,7,7,0,0,False,263.1823297328948,967.1523678783726,,
168,488,1689.0478515625,1691,170.9068872485992,3,3,3,0,0,False,250.96599467816625,529.9942913216466,,
169,285,1231.1969757080078,1231,163.6806318661725,6,6,6,0,0,False,251.79278277395005,767.2910853115392,,
170,185,4265.222854614258,4263,340.4790370526016,9,9,9,0,0,False,269.30439997873265,630.7590936283063,,
171,606,2929.361083984375,2928,313.63964429250007,9,9,9,0,0,False,276.3642769229531,505.28303992434195,,
172,59,1619.6786193847656,1619,212.23770428582552,7,7,7,0,0,False,256.18623205486153,202.06871670374179,,
173,446,497.42401123046875,499,95.91095464373225,4,4,4,0,0,False,245.84925058665843,462.85934509574577,,
174,116,2253.150390625,2250,315.3110061512847,8,7,7,1,1,False,274.0880289936455,568.1651415473849,,
175,243,1422.2899932861328,1424,180.87645685798918,4,4,4,0,0,False,256.5971722153489,151.4301253859097,,
176,244,2539.605697631836,2538,221.61938995373978,7,6,6,0,0,True,264.09240798492226,30.709933397859892,,
177,596,2238.427017211914,2240,215.3243480667005,7,7,7,0,0,False,262.94216826601956,260.4726006693041,,
178,190,3645.890914916992,3644,323.87800932146536,8,8,8,0,0,False,292.37857716350965,902.5969737220987,,
179,324,3221.356246948242,3220,322.0935537805601,9,9,9,0,0,False,280.5988105544004,371.30117525906974,,
180,5,662.7312469482422,664,105.74896519382621,5,5,5,0,0,False,264.2521405841316,817.4376079675495,,
181,542,879.78125,881,129.15215198839104,4,4,4,0,0,False,269.03065722208777,297.67188227863335,,
182,503,2111.5946044921875,2114,236.51198400857035,4,4,4,0,0,False,278.5356501099271,90.77339171477855,,
183,88,2761.884078979492,2761,285.57211850025635,9,9,9,0,0,False,301.2267733938969,775.4621204122099,,
184,320,711.0638122558594,710,139.63694425013506,6,6,6,0,0,False,275.8373095911585,312.6194399482546,,
185,499,3464.7173767089844,3464,283.5099818369395,6,6,6,0,0,False,303.965087874694,689.1258381267261,,
186,328,2925.7505645751953,2924,275.37084168908166,8,8,8,0,0,False,286.6007390869866,450.86593124619026,,
187,676,2379.001907348633,2378,195.90278584303377,8,8,8,0,0,False,293.17261789004147,194.9274258908404,,
188,45,1379.60791015625,1380,155.5434456959606,6,6,6,0,0,False,282.0523167848307,146.1896510802829,,
189,577,904.5737762451172,906,120.27190840326952,3,3,3,0,0,False,286.3322305346317,857.8948129594081,,
190,461,1565.7368469238281,1568,180.48389884387268,5,5,5,0,0,False,307.0941636303084,956.6883482068591,,
191,418,658.73046875,661,100.50635673051393,4,4,4,0,0,False,292.3984213392954,321.6725270106912,,
192,360,1243.790298461914,1243,165.19361589309324,6,6,6,0,0,False,305.9625589806218,394.00787931102786,,
193,588,1201.743911743164,1200,173.72296959851747,8,8,8,0,0,False,295.00002799877586,831.4307626440683,,
194,154,2501.012420654297,2501,249.785046889302,7,7,7,0,0,False,323.3644797529469,276.39000281122327,,
195,520,586.67578125,588,96.66298586856668,4,3,3,0,0,True,294.6154145776322,11.26091033284173,,
196,600,2422.5298919677734,2423,219.55034957687423,7,7,7,0,0,False,315.9039462079622,240.30185058033405,,
197,169,1410.9044189453125,1411,196.88852793510182,5,5,5,0,0,False,303.09544366403526,83.96560559001318,,
198,347,1476.177505493164,1477,162.48452132580098,4,4,4,0,0,False,308.74227533513385,427.7931318722934,,
199,74,1635.0752716064453,1633,217.7335444804067,7,7,7,0,0,False,316.46504162643953,38.091449006282055,,
200,286,1851.3876342773438,1852,203.51342517622743,5,5,5,0,0,False,313.7055583647579,994.988462089835,,
201,388,3331.593475341797,3332,287.8981687569761,9,9,9,0,0,False,333.9494454331495,608.2538945728567,,
202,668,1122.0032196044922,1123,149.44921670715604,4,4,4,0,0,False,312.4058102185194,509.55039105297817,,
203,505,887.0887451171875,889,116.95380244639908,5,5,5,0,0,False,310.41769219303376,797.3905980242166,,
204,422,3515.020736694336,3510,463.0708934828086,9,8,8,0,0,True,364.39996260599156,980.791023640726,,
205,196,990.0522155761719,987,181.3886775936379,10,10,10,0,0,False,325.7484848109773,119.314573064091,,
206,536,1323.4713897705078,1324,153.92931708855343,6,6,6,0,0,False,311.3722231805779,547.1897783833638,,
207,31,1719.8164367675781,1721,166.8990747002792,4,4,4,0,0,False,324.2230451323369,71.17073405889577,,
208,470,390.6006622314453,392,87.59764915964946,3,3,3,0,0,False,304.24185865886346,156.82669986710965,,
209,408,1199.8066864013672,1200,157.2021900573279,4,4,4,0,0,False,319.4094847022325,364.7236833692699,,
210,266,2639.1334838867188,2638,226.0311174572144,7,7,7,0,0,False,335.78966897535145,310.45394897388786,,
211,46,1548.0994720458984,1549,181.25849479030546,4,4,4,0,0,False,324.356749692742,641.4275777163564,,
212,484,1069.0258331298828,1070,139.19629885459267,4,4,4,0,0,False,319.14948326314453,832.9347818674717,,
213,594,1034.4294128417969,1034,141.2029400106121,6,6,6,0,0,False,320.7880346345278,156.26314263316783,,
214,160,502.59063720703125,502,103.2214047259929,6,5,5,0,0,True,326.81013965676664,7.526702859575312,,
215,586,2113.8689880371094,2114,196.85300263603085,7,7,7,0,0,False,341.96292549779565,859.1041111880991,,
216,28,1489.9617462158203,1489,172.65542148991358,7,7,7,0,0,False,342.838430525486,477.84034558438907,,
217,427,2398.1809844970703,2398,229.7016061838753,6,6,6,0,0,False,347.3305910124168,571.5534892642885,,
218,602,1157.8634643554688,1158,141.05802895917148,6,6,6,0,0,False,338.001895038452,185.06422852228542,,
219,215,3168.297088623047,3167,318.1028206068204,8,8,8,0,0,False,352.1228097449248,913.3927476789518,,
220,688,1320.1322479248047,1321,152.43503570686516,4,4,4,0,0,False,343.5690604644874,972.5868100070046,,
221,463,4685.718246459961,4684,305.6418941890701,10,10,10,0,0,False,364.554041109643,431.17143238105587,,
222,506,862.5261688232422,863,121.61909971663573,5,5,5,0,0,False,339.8190498695981,722.6215102560718,,
223,167,825.6074829101562,825,115.71923257661534,6,6,6,0,0,False,339.6764252575978,217.77733364909204,,
224,495,434.0683135986328,436,82.97403392590486,4,4,4,0,0,False,335.62653471665124,407.0770858254773,,
225,131,4277.318374633789,4276,402.1995986694973,10,10,10,0,0,False,375.42307121489034,59.10901111461924,,
226,595,853.7975311279297,854,141.73771433429064,5,5,5,0,0,False,344.02921995035734,149.8073841139847,,
227,455,918.8112945556641,919,125.28067590048803,6,6,6,0,0,False,341.4128365884942,814.4791966218708,,
228,402,1619.2720947265625,1621,184.57774190103225,5,5,5,0,0,False,342.2014947083695,522.906989442207,,
229,73,1276.8804779052734,1276,152.71939428387014,6,6,6,0,0,False,348.71341786085264,781.2581259306514,,
230,457,1474.2144012451172,1474,167.79414840716524,4,4,4,0,0,False,356.6953294401495,659.6412983962157,,
231,99,3379.7548217773438,3379,340.76516231877366,9,9,9,0,0,False,375.434747963334,679.9411003616098,,
232,23,1925.0929565429688,1927,208.08351254623153,7,7,7,0,0,False,350.47567478833565,358.27163987682457,,
233,640,1894.1517791748047,1893,254.48039469119047,7,6,6,0,0,True,397.32172206072465,12.16609292768167,,
234,66,2703.281768798828,2703,284.34009050746084,8,8,8,0,0,False,391.7148610139217,724.7876000892995,,
235,571,885.7270965576172,887,117.05460401214224,4,4,4,0,0,False,365.1068141379874,116.84192938075729,,
236,159,663.7850036621094,665,113.18788320740244,5,5,5,0,0,False,357.697920624386,90.88073396583795,,
237,142,1963.8332977294922,1962,249.53093067507007,8,8,8,0,0,False,390.997256541166,135.47216477604053,,
238,175,498.2523193359375,500,91.44983615039627,3,3,3,0,0,False,364.26364962326113,17.048494432097872,,
239,230,520.8443298339844,521,102.29611162566692,4,4,4,0,0,False,362.63646724690244,205.06960756157545,,
240,149,868.5044097900391,869,124.36094615708055,5,5,5,0,0,False,368.9495373237591,263.2446678883848,,
241,227,392.60894775390625,393,77.05232111169403,5,5,5,0,0,False,361.4653332675703,239.66254224536002,,
242,194,623.3706665039062,623,121.7167747900582,6,6,6,0,0,False,362.6376994567508,515.9204742886801,,
243,69,3332.163314819336,3332,383.7391815717459,8,8,8,0,0,False,417.95820963288986,921.7415298894524,,
244,17,1514.8882446289062,1516,175.5376252326452,6,6,6,0,0,False,372.22086101491203,170.5106633594669,,
245,400,1617.5054016113281,1618,177.95064364585016,5,5,5,0,0,False,377.50356975196854,789.3430342294407,,
246,68,2012.7746276855469,2011,223.5910086701599,8,8,8,0,0,False,389.04820990065247,210.84511113662145,,
247,564,2485.9115142822266,2485,260.8147205900947,7,7,7,0,0,False,405.684324941392,748.2159842985249,,
248,122,1184.5165710449219,1184,153.6026747004781,7,7,7,0,0,False,378.92263355038637,834.7524059723128,,
249,257,1254.9786376953125,1256,153.55371040487694,4,4,4,0,0,False,375.2273334083785,366.520476043396,,
250,65,1481.1592407226562,1482,150.28629583305346,6,5,4,1,0,False,379.2444766473565,876.8557705838676,,
