observed_dVEF,expected_dVEF,residual_dVEF,euler_residual,n_events,n_explained,n_unexplained,n_connectivity_changes,fully_explained,charge_a,charge_b,charge_delta,n_t1,t1_charge_deltas,n_t1_charge_conserved,n_t1_generic,n_t1_isolated,n_t1_isolated_charge_conserved,n_t1_isolated_generic,frame
"(-12, -16, -4)","(-3, -3, 0)","(-9, -13, -4)",0,35,29,6,0,False,2,6,4,18,"[3, 0, 1, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",13,11,10,10,10,47
"(1, 2, 1)","(0, 0, 0)","(1, 2, 1)",0,23,20,3,0,False,6,8,2,10,"[-1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",8,8,8,8,8,48
"(4, 4, 0)","(-1, -1, 0)","(5, 5, 0)",0,36,24,12,0,False,8,1,-7,9,"[1, 0, 1, -1, 1, 0, 0, 0, 0]",5,5,4,4,4,49
"(-5, -5, 0)","(-2, -2, 0)","(-3, -3, 0)",0,21,15,6,0,False,1,6,5,7,"[1, 0, 0, 0, 0, 0, 0]",6,6,7,6,6,50
"(-5, -7, -2)","(1, 1, 0)","(-6, -8, -2)",0,44,32,12,0,False,6,11,5,15,"[0, 0, 1, 0, 0, 0, 0, 0, 0, -1, -2, 0, 0, 0, 0]",12,9,8,8,8,51
"(-4, -6, -2)","(6, 6, 0)","(-10, -12, -2)",0,25,19,6,0,False,11,12,1,7,"[-2, 0, 0, 0, 0, 0, 1]",5,5,5,5,5,52
"(6, 9, 3)","(-6, -6, 0)","(12, 15, 3)",0,37,24,13,0,False,12,9,-3,8,"[0, 0, 0, 0, 0, 1, -1, 0]",6,6,4,4,4,53
"(3, 5, 2)","(0, 0, 0)","(3, 5, 2)",0,37,23,14,0,False,9,12,3,7,"[-1, 0, 0, -1, 1, 0, 0]",4,4,4,4,4,54
"(-2, -4, -2)","(1, 1, 0)","(-3, -5, -2)",0,28,22,6,0,False,12,9,-3,13,"[-2, -2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",10,10,10,10,10,55
"(-5, -8, -3)","(4, 4, 0)","(-9, -12, -3)",0,25,22,3,0,False,9,6,-3,14,"[0, 0, 0, 1, 0, 0, 0, 0, 1, -1, 0, -1, 0, 0]",10,10,8,8,8,56
"(-1, -3, -2)","(3, 2, -1)","(-4, -5, -1)",0,40,31,9,0,False,6,6,0,16,"[0, 1, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, -1, -5, 0]",12,9,7,7,7,57
"(1, 2, 1)","(-2, -2, 0)","(3, 4, 1)",0,24,19,5,0,False,6,3,-3,11,"[3, 4, -1, 5, 0, 0, 7, 0, 0, -1, -1]",4,4,4,4,4,58
"(-8, -13, -5)","(6, 5, -1)","(-14, -18, -4)",0,48,34,14,0,False,3,5,2,13,"[0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 2, 1]",9,8,7,7,7,59
"(8, 13, 5)","(-9, -9, 0)","(17, 22, 5)",0,44,31,13,0,False,5,3,-2,14,"[4, 5, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",10,10,10,10,10,60
"(4, 6, 2)","(0, 0, 0)","(4, 6, 2)",0,32,26,6,0,False,3,6,3,16,"[0, -1, 0, 1, -1, 0, -1, 0, 0, -1, 1, 0, 0, 0, 0, -2]",9,9,9,9,9,61
"(-2, -5, -3)","(4, 4, 0)","(-6, -9, -3)",0,37,28,9,0,False,6,2,-4,14,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",12,12,11,11,11,62
"(-7, -9, -2)","(3, 3, 0)","(-10, -12, -2)",0,31,19,12,0,False,2,4,2,8,"[0, 0, 0, -1, 0, 0, 0, 0]",7,5,5,5,5,63
"(5, 7, 2)","(-2, -2, 0)","(7, 9, 2)",0,24,16,8,0,False,4,5,1,10,"[-4, -4, -2, 0, -2, 0, 0, 0, 0, 0]",6,6,5,5,5,64
"(-7, -10, -3)","(0, 0, 0)","(-7, -10, -3)",0,26,17,9,0,False,5,5,0,7,"[1, 0, 0, 0, 0, 0, 3]",5,5,3,3,3,65
"(7, 12, 5)","(-6, -6, 0)","(13, 18, 5)",0,27,20,7,0,False,5,12,7,8,"[0, -1, 0, 1, 0, 0, 0, 0]",6,6,5,5,5,66
"(3, 3, 0)","(1, 1, 0)","(2, 2, 0)",0,27,19,8,0,False,12,7,-5,8,"[0, 0, 0, 0, -1, 0, 0, 0]",7,7,6,6,6,67
"(-6, -7, -1)","(-2, -2, 0)","(-4, -5, -1)",0,29,22,7,0,False,7,13,6,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]",11,11,11,11,11,68
"(-6, -10, -4)","(6, 6, 0)","(-12, -16, -4)",0,33,25,8,0,False,13,3,-10,13,"[6, 6, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9,7,7,7,7,69
