observed_dVEF,expected_dVEF,residual_dVEF,euler_residual,n_events,n_explained,n_unexplained,n_connectivity_changes,fully_explained,charge_a,charge_b,charge_delta,n_t1,t1_charge_deltas,n_t1_charge_conserved,n_t1_generic,n_t1_isolated,n_t1_isolated_charge_conserved,n_t1_isolated_generic,frame
"(-12, -19, -7)","(5, 6, 1)","(-17, -25, -8)",0,44,26,18,0,False,135,125,-10,18,"[5, 5, 0, 0, 1, 0, 1, 0, -1, 0, 0, 7, 0, 0, 0, 0, 8, 9]",10,9,9,9,9,46
"(-9, -13, -4)","(0, 0, 0)","(-9, -13, -4)",0,49,35,14,0,False,125,127,2,25,"[-1, 0, 1, 0, 0, 0, 0, -1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, -2, 0, 2, 0, 2, 1, 1]",14,12,12,12,12,47
"(3, 5, 2)","(-1, -1, 0)","(4, 6, 2)",0,41,27,14,0,False,127,132,5,16,"[-4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",14,13,13,13,13,48
"(0, -1, -1)","(2, 3, 1)","(-2, -4, -2)",0,50,32,18,0,False,132,125,-7,19,"[1, 0, 0, 0, -1, 0, 0, 4, 1, 0, 5, 0, 0, -1, 0, 1, 4, 4, 4]",9,7,7,7,7,49
"(-5, -7, -2)","(-1, -1, 0)","(-4, -6, -2)",0,39,21,18,0,False,125,125,0,14,"[1, 1, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 4]",9,9,8,8,8,50
"(-3, -4, -1)","(0, 0, 0)","(-3, -4, -1)",0,55,36,19,0,False,125,128,3,26,"[-3, -4, -2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, -1, -2, 0, 0, 0, 0, 0, 0, 1, 1, 2, 1]",15,11,10,10,10,51
"(-27, -41, -14)","(5, 5, 0)","(-32, -46, -14)",0,34,20,14,0,False,128,114,-14,11,"[11, 11, 0, 0, 0, 0, 0, 0, 2, 1, 13]",6,6,6,6,6,52
"(15, 22, 7)","(-2, -2, 0)","(17, 24, 7)",0,36,25,11,0,False,114,116,2,17,"[-5, -6, -5, -4, 0, -1, 0, 0, 0, 1, -1, 0, -3, -3, 0, -3, -3]",6,6,6,6,6,53
"(9, 14, 5)","(-1, 1, 2)","(10, 13, 3)",0,49,30,19,0,False,116,121,5,17,"[-4, -4, -4, -1, 0, -1, 0, 0, 1, 0, 0, -1, 0, -1, 0, -1, -1]",7,5,5,5,5,54
"(-6, -8, -2)","(-3, -3, 0)","(-3, -5, -2)",0,42,30,12,0,False,121,125,4,19,"[-2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1]",13,13,13,13,13,55
"(-13, -20, -7)","(4, 4, 0)","(-17, -24, -7)",0,37,26,11,0,False,125,119,-6,14,"[0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, 5, 2]",10,10,10,10,10,56
