observed_dVEF,expected_dVEF,residual_dVEF,euler_residual,n_events,n_explained,n_unexplained,n_connectivity_changes,fully_explained,charge_a,charge_b,charge_delta,n_t1,t1_charge_deltas,n_t1_charge_conserved,n_t1_generic,n_t1_isolated,n_t1_isolated_charge_conserved,n_t1_isolated_generic,frame
"(-9, -13, -4)","(-3, -3, 0)","(-6, -10, -4)",0,77,43,34,0,False,117,126,9,27,"[0, 0, -1, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, -3, -2, -6]",19,15,14,14,14,33
"(-19, -26, -7)","(-9, -10, -1)","(-10, -16, -6)",0,50,38,12,0,False,126,127,1,24,"[9, 7, 6, 0, 0, 0, 1, 0, 2, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, -1, 0, 2, 10]",14,12,12,12,12,34
"(11, 15, 4)","(0, 0, 0)","(11, 15, 4)",0,57,53,4,0,False,127,129,2,27,"[-8, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, -1, 0, 0, 0, -1, -1, 1, -7, -7, -5, -5, -7]",15,10,9,9,9,35
"(-5, -7, -2)","(-3, -3, 0)","(-2, -4, -2)",0,51,35,16,0,False,129,131,2,20,"[-1, 0, 0, 1, -1, 0, -1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, -1, 2, 1]",9,8,8,8,8,36
"(-10, -16, -6)","(2, 2, 0)","(-12, -18, -6)",0,48,38,10,0,False,131,121,-10,23,"[4, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 8, 7, 8]",16,16,16,16,16,37
"(2, 2, 0)","(-13, -16, -3)","(15, 18, 3)",0,81,66,15,0,False,121,125,4,36,"[-9, -9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -2, -6, 0, 0, 1, -1, 0, 0, 0, -5, -6, -7, -7, -8]",23,16,15,15,15,38
"(12, 18, 6)","(2, 4, 2)","(10, 14, 4)",0,50,34,16,0,False,125,128,3,20,"[-4, -4, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -1]",14,14,13,13,13,39
"(10, 16, 6)","(1, 2, 1)","(9, 14, 5)",0,51,38,13,0,False,128,135,7,22,"[-4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -2, -2, -1]",16,14,14,14,14,40
"(-20, -30, -10)","(-2, -3, -1)","(-18, -27, -9)",0,68,51,17,0,False,135,132,-3,28,"[1, 1, 3, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5, 5, 6, 4, 4]",17,15,14,14,14,41
"(-5, -8, -3)","(-12, -14, -2)","(7, 6, -1)",0,61,48,13,0,False,132,130,-2,23,"[-1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 1, 1, 1, 0]",16,13,13,13,13,42
"(13, 20, 7)","(-14, -16, -2)","(27, 36, 9)",0,56,43,13,0,False,130,138,8,21,"[-9, -7, -7, -7, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 1, -1, -1, -5, -4, -5, -5]",8,7,7,7,7,43
"(-10, -15, -5)","(1, 1, 0)","(-11, -16, -5)",0,45,38,7,0,False,138,132,-6,25,"[5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 7, 7, 1]",18,14,14,14,14,44
"(-2, -3, -1)","(-9, -11, -2)","(7, 8, 1)",0,64,47,17,0,False,132,135,3,23,"[-4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 2, -2, -1, -2, 0]",16,14,14,14,14,45
"(-12, -19, -7)","(2, 2, 0)","(-14, -21, -7)",0,46,31,15,0,False,135,125,-10,19,"[5, 5, 4, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 1, 0, 8, 9, 7, 0]",10,9,9,9,9,46
"(-9, -13, -4)","(0, 0, 0)","(-9, -13, -4)",0,48,40,8,0,False,125,127,2,26,"[-1, 0, 1, 0, 2, 0, 0, 0, -1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, -2, 0, 1, 2, -1, 1]",14,12,12,12,12,47
"(3, 5, 2)","(-3, -3, 0)","(6, 8, 2)",0,38,32,6,0,False,127,132,5,17,"[-4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]",14,13,13,13,13,48
"(0, -1, -1)","(-7, -8, -1)","(7, 7, 0)",0,58,44,14,0,False,132,125,-7,20,"[1, 1, 0, 0, 0, -1, 0, 1, 0, 1, 0, 0, 1, 0, -1, 4, 4, 4, 0, 3]",9,7,7,7,7,49
"(-5, -7, -2)","(0, 0, 0)","(-5, -7, -2)",0,31,21,10,0,False,125,125,0,15,"[1, 1, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 3, 4]",9,9,9,9,9,50
"(-3, -4, -1)","(0, 0, 0)","(-3, -4, -1)",0,55,44,11,0,False,125,128,3,28,"[-3, -3, -2, -4, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, -1, -2, 0, 0, 0, 0, 0, 1, 2, 0, 1, 1]",15,11,10,10,10,51
"(-27, -41, -14)","(5, 5, 0)","(-32, -46, -14)",0,34,20,14,0,False,128,114,-14,11,"[11, 11, 0, 0, 0, 0, 2, 0, 0, 1, 13]",6,6,6,6,6,52
"(15, 22, 7)","(-2, -2, 0)","(17, 24, 7)",0,32,25,7,0,False,114,116,2,19,"[-5, -5, -7, -6, -4, 0, -1, 0, 0, 0, 0, 1, -1, 0, -3, -3, -3, -4, -3]",6,6,6,6,6,53
"(9, 14, 5)","(-16, -18, -2)","(25, 32, 7)",0,56,45,11,0,False,116,121,5,18,"[-4, -4, -4, -4, -1, 0, 0, -1, 0, 1, 0, 0, 0, 0, -2, -1, -1, -1]",7,5,5,5,5,54
"(-6, -8, -2)","(-5, -5, 0)","(-1, -3, -2)",0,44,40,4,0,False,121,125,4,20,"[-2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1]",14,14,13,13,13,55
"(-13, -20, -7)","(4, 4, 0)","(-17, -24, -7)",0,38,29,9,0,False,125,119,-6,15,"[0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 2, 5, 5]",10,10,10,10,10,56
"(11, 15, 4)","(0, 0, 0)","(11, 15, 4)",0,45,35,10,0,False,119,119,0,22,"[-7, -7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, -5, -5]",15,12,11,11,11,57
"(-3, -3, 0)","(-2, -2, 0)","(-1, -1, 0)",0,27,23,4,0,False,119,124,5,19,"[0, 0, 0, -1, -1, -1, 0, 0, 1, 0, -1, 0, 0, -1, 0, -1, -1, 4, 2]",9,9,6,6,6,58
"(-3, -5, -2)","(1, 0, -1)","(-4, -5, -1)",0,55,44,11,0,False,124,126,2,24,"[-5, -5, -5, -5, 0, 0, 1, 1, 0, -1, 0, 0, 0, 0, 0, 0, -1, 2, 1, -5, -3, -2, -1, -2]",9,8,8,8,8,59
"(8, 12, 4)","(-1, -1, 0)","(9, 13, 4)",0,47,35,12,0,False,126,124,-2,24,"[0, 0, -1, 1, 4, 2, 1, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 3, 3, 2]",13,11,11,11,11,60
"(-4, -6, -2)","(-5, -6, -1)","(1, 0, -1)",0,44,39,5,0,False,124,120,-4,20,"[3, 3, 4, 3, 0, -1, 0, 1, 0, 0, -1, 0, 0, -1, 1, 0, 0, 0, 0, 5]",10,10,10,10,10,61
"(3, 4, 1)","(1, 1, 0)","(2, 3, 1)",0,35,30,5,0,False,120,122,2,25,"[-5, -5, -5, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -3, -2, -3, -3, -3, -3]",13,12,12,12,12,62
"(-6, -9, -3)","(-11, -13, -2)","(5, 4, -1)",0,50,43,7,0,False,122,121,-1,18,"[0, 0, 2, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 2, 3, 3, 2, 1]",10,6,5,5,5,63
"(4, 6, 2)","(-4, -5, -1)","(8, 11, 3)",0,38,35,3,0,False,121,121,0,15,"[-1, 0, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]",10,9,9,9,9,64
"(-7, -10, -3)","(-7, -8, -1)","(0, -2, -2)",0,37,27,10,0,False,121,124,3,16,"[-2, -2, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -4, 0, 1, 0]",10,8,7,7,7,65
"(7, 12, 5)","(-9, -10, -1)","(16, 22, 6)",0,36,28,8,0,False,124,129,5,14,"[0, -2, -1, 0, 0, -1, 0, 0, 1, 0, 0, 0, -1, 0]",9,9,7,7,7,66
"(19, 27, 8)","(-12, -14, -2)","(31, 41, 10)",0,40,26,14,0,False,129,132,3,12,"[-11, -10, 0, 0, 0, 1, 0, -1, 0, 0, 0, -7]",7,7,6,6,6,67
"(-14, -21, -7)","(-8, -9, -1)","(-6, -12, -6)",0,44,28,16,0,False,132,125,-7,15,"[6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0]",12,11,11,11,11,68
"(-5, -8, -3)","(-27, -32, -5)","(22, 24, 2)",0,44,32,12,0,False,125,125,0,17,"[-2, -3, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]",11,9,8,8,8,69
